"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Dueñas V.; López S.; Cervantes J.-A.; Ortiz-Torres G.","Dueñas, Viviana (57216852544); López, Sonia (36480214200); Cervantes, José-Antonio (55948283900); Ortiz-Torres, Gerardo (57151373800)","57216852544; 36480214200; 55948283900; 57151373800","Biologically inspired computational models of Visuospatial Working Memory: A systematic review","2025","Cognitive Systems Research","94","","101410","","","1","10.1016/j.cogsys.2025.101410","https://www.scopus.com/pages/publications/105016777779?origin=resultslist","Visuospatial working memory is a fundamental cognitive component that enables humans to explore and interact with their visual environment. This paper presents a systematic review of bio-inspired computational models of visuospatial working memory developed over the past 14 years. The review identifies the main bio-inspired and algorithmic approaches used, examines the cognitive functions and brain areas considered in these models, and discusses the strategies employed to evaluate them. Furthermore, it outlines the current challenges in enhancing the design and implementation of such models. The findings from this meta-review are intended to support and guide future research on developing bio-inspired computational models of visuospatial working memory to enhance the cognitive abilities of bio-inspired artificial agents. © 2025 Elsevier B.V.","Artificial agents; Artificial intelligence; Bio-inspired models; Computational models; Visuospatial working memory","Bioinformatics; Biomimetics; Brain; Computation theory; Computational methods; Intelligent agents; Artificial agents; Bio-inspired approach; Bioinspired models; Biologically-inspired; Cognitive components; Computational modelling; Systematic Review; Visual environments; Visuospatial working memory; Working memory; article; artificial intelligence; cognition; computer model; human; systematic review; therapy; working memory; Artificial intelligence","Article","Final","","Scopus","2-s2.0-105016777779"
"Shih N.-J.","Shih, Naai-Jung (7004286230)","7004286230","Surreal AI: The Generation, Reconstruction, and Assessment of Surreal Images and 3D Models","2025","Technologies","13","12","577","","","2","10.3390/technologies13120577","https://www.scopus.com/pages/publications/105025886726?origin=resultslist","Surrealism applies metaphors to create a vocabulary of contexts and scenes. Can AI interpret surrealism? What occurs if a negative prompt is input for 3D reconstruction? This study aims to generate surreal images in AI and to assess the subsequent 3D reconstructed models as an exemplification of context. This AI interpretation study uses 87 sets of conflicting prompts to generate images with novel 3D structural and visual details. Eight characteristic 3D models were selected with geometric features modified by functions, such as the reduction in noise, to identify the changes made to the original shape, with upper and lower bounds of between 92.11% and 47.89% for area and between 20.51% and 1.46% for volume, which indicates structural details. This study creates a unique numeric identity of surreal images upon 3D reconstruction in terms of the relative % of the changes made to the original shape. AI can create a connection between 2D surreal imagination and the 3D physical world, in which the images and models are also appropriate for video morphing, situated elaboration in AR scenes, and verified 3D RP prints. © 2025 by the author.","3D reconstruction; artificial intelligence (AI); assessment; augmented reality (AR); neural radiance field (NeRF); surrealism","3D modeling; Artificial intelligence; Image reconstruction; Three dimensional computer graphics; 3D models; 3D reconstruction; 3d-modeling; Artificial intelligence; Assessment; Augmented reality; Geometric feature; Image modeling; Neural radiance field; Surrealism; 3D reconstruction; Augmented reality","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105025886726"
"Diaz J.; Alsadoon A.; Jerew O.D.; Osman A.H.; Aljahdali H.M.; Abuobieda A.; Elsafi A.","Diaz, Julian (60377758400); Alsadoon, Abeer (56575128400); Jerew, Oday D. (35306943300); Osman, Ahmed Hamza (57195740148); Aljahdali, Hani Moetque (57192160630); Abuobieda, Albaraa (55078358100); Elsafi, Abubakar (56418348700)","60377758400; 56575128400; 35306943300; 57195740148; 57192160630; 55078358100; 56418348700","Dynamic Trust Modulation and Human Oversight in AI-Driven AML Systems: A Conceptual Framework for Compliance","2025","International Journal of Advanced Computer Science and Applications","16","12","","92","111","0","10.14569/IJACSA.2025.0161209","https://www.scopus.com/pages/publications/105029684338?origin=resultslist","This literature review investigates how human trust, decision fatigue, explainability (XAI), and human oversight interrelate to influence analyst decision-making in AI-driven anti-money laundering (AML) systems. While prior research has predominantly emphasized algorithmic performance, detection accuracy, or regulatory compliance in isolation, a critical gap remains in understanding the human-centered dynamics that shape real-world operational outcomes. Addressing this gap, the review examines how financial institutions navigate compliance demands and operational constraints, drawing on the Australian regulatory environment as an illustrative governance reference, including expectations articulated by AUSTRAC. Building on this synthesis, the study identifies structural gaps in Trust Calibration and oversight practices. It introduces a Dynamic Trust Modulation (DTM) framework to conceptualize how trust evolves across AML workflows. The framework models trust as a fluid, context-dependent construct shaped by system behavior, analyst workload, explainability mechanisms, and regulatory pressure. By framing trust, explainability, and decision fatigue as interdependent components of human–AI collaboration, this review advances a more holistic perspective on socio-technical system design in financial crime detection. The proposed framework contributes theoretically by extending human–AI trust research into the AML domain and practically by offering actionable design principles to enhance system accountability, decision defensibility, and adaptive compliance in operational AML environments. © (2025), (Science and Information Organization). All rights reserved.","Analyst–System Interaction; anti-money laundering (AML); Artificial intelligence; AUSTRAC Compliance; decision fatigue; Explainability; false positives; human oversight; Regulatory Technology (RegTech); transaction monitoring; Trust Calibration","Behavioral research; Calibration; Decision making; Decision theory; Fatigue of materials; Human computer interaction; Information systems; Information use; Laundering; Regulatory compliance; Analyst–system interaction; Anti-money laundering; AUSTRAC compliance; Decision fatigue; Explainability; False positive; Human oversight; Regulatory technology; System interactions; Transaction monitoring; Trust calibration; Artificial intelligence","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105029684338"
"Chen H.; Zeng W.; Chen C.; Cai L.; Wang F.; Shi Y.; Wang L.; Zhang W.; Li Y.; Yan H.; Siok W.T.; Wang N.","Chen, Hongyu (59214960600); Zeng, Weiming (13605397000); Chen, Chengcheng (57961341800); Cai, Luhui (59214668400); Wang, Fei (59308435800); Shi, Yuhu (56849621800); Wang, Lei (58608267600); Zhang, Wei (59301263600); Li, Yueyang (59214522400); Yan, Hongjie (57193274756); Siok, Wai Ting (57203623779); Wang, Nizhuan (44361489400)","59214960600; 13605397000; 57961341800; 59214668400; 59308435800; 56849621800; 58608267600; 59301263600; 59214522400; 57193274756; 57203623779; 44361489400","EEG Emotion Copilot: Optimizing lightweight LLMs for emotional EEG interpretation with assisted medical record generation","2025","Neural Networks","192","","107848","","","20","10.1016/j.neunet.2025.107848","https://www.scopus.com/pages/publications/105010851567?origin=resultslist","In the fields of affective computing (AC) and brain-computer interface (BCI), the analysis of physiological and behavioral signals to discern individual emotional states has emerged as a critical research frontier. While deep learning-based approaches have made notable strides in EEG emotion recognition, particularly in feature extraction and pattern recognition, significant challenges persist in achieving end-to-end emotion computation, including rapid processing, individual adaptation, and seamless user interaction. This paper presents the EEG Emotion Copilot, a system optimizing a lightweight large language model (LLM) with 0.5B parameters operating in a local setting, which first recognizes emotional states directly from EEG signals, subsequently generates personalized diagnostic and treatment suggestions, and finally supports the automation of assisted electronic medical records. Specifically, we demonstrate the critical techniques in the novel data structure of prompt, model pruning and fine-tuning training, and deployment strategies aiming at improving performance and computational efficiency. Extensive experiments show that our optimized lightweight LLM-based copilot achieves an enhanced intuitive interface for participant interaction, superior accuracy of emotion recognition and assisted electronic medical records generation, in comparison to such models with similar scale parameters or large-scale parameters such as 1.5B, 1.8B, 3B and 7B. In summary, through these efforts, the proposed copilot is expected to advance the application of AC in the medical domain, offering innovative solution to mental health monitoring. The codes will be released at https://github.com/NZWANG/EEG_Emotion_Copilot. © 2025 Elsevier Ltd","Assisted electronic medical record; Emotion recognition; Lightweight LLM; Model fine-tuning; Model pruning","Brain-Computer Interfaces; Deep Learning; Electroencephalography; Electronic Health Records; Emotions; Humans; Behavioral research; Biomedical signal processing; Brain computer interface; Deep learning; Electroencephalography; Electronic health record; Emotion Recognition; Interface states; Learning systems; Medical computing; Pattern recognition; Psychology computing; User interfaces; Affective Computing; Assisted electronic medical record; Emotion recognition; Emotional state; Fine tuning; Language model; Lightweight large language model; Medical record; Model fine-tuning; Model pruning; adult; Alzheimer disease; Article; artificial intelligence; convolutional neural network; data interpretation; deep learning; depression; electroencephalogram; electronic medical record; emotion; epilepsy; feature extraction; female; fine tuning training; human; human experiment; large language model; male; medical record; mental health; neurologic disease; pattern recognition; physiology; recurrent neural network; schizophrenia; training; young adult; brain computer interface; electroencephalography; electronic health record; procedures; Computational efficiency","Article","Final","","Scopus","2-s2.0-105010851567"
"Fahd K.; Parvin S.; Di Serio A.; Venkatraman S.","Fahd, Kiran (57209474419); Parvin, Sazia (24344520800); Di Serio, Antony (57456149000); Venkatraman, Sitalakshmi (15837688400)","57209474419; 24344520800; 57456149000; 15837688400","Secure Fog Computing for Remote Health Monitoring with Data Prioritisation and AI-Based Anomaly Detection","2025","Sensors","25","23","7329","","","1","10.3390/s25237329","https://www.scopus.com/pages/publications/105024630931?origin=resultslist","Smart remote health monitoring requires time-critical medical data of patients from IoT-enabled cyber–physical systems (CPSs) to be securely transmitted and analysed in real time for early interventions and personalised patient care. Existing cloud architectures are insufficient for smart health systems due to their inherent issues with latency, bandwidth, and privacy. Fog architectures using data storage closer to edge devices introduce challenges in data management, security, and privacy for effective monitoring of a patient’s sensitive and critical health data. These gaps found in the literature form the main research focus of this study. As an initial modest step to advance research further, we propose an innovative fog-based framework which is the first of its kind to integrate secure communication with intelligent data prioritisation (IDP) integrated into an AI-based enhanced Random Forest anomaly and threat detection model. Our experimental study to validate our model involves a simulated smart healthcare scenario with synthesised health data streams from distributed wearable devices. Features such as heart rate, SpO2, and breathing rate are dynamically prioritised using AI strategies and rule-based thresholds so that urgent health anomalies are transmitted securely in real time to support clinicians and medical experts for personalised early interventions. We establish a successful proof-of-concept implementation of our framework by achieving high predictive performance measures with an initial high score of 93.5% accuracy, 90.8% precision, 88.7% recall, and 89.7% F1-score. © 2025 by the authors.","AI-based anomaly detection; edge computing; fog computing; intelligent data prioritisation; smart remote healthcare monitoring","Algorithms; Artificial Intelligence; Cloud Computing; Computer Security; Humans; Monitoring, Physiologic; Remote Sensing Technology; Telemedicine; Wearable Electronic Devices; Anomaly detection; Data privacy; Digital storage; Diseases; Edge computing; Embedded systems; Fog; Information management; Medical computing; Patient treatment; Remote patient monitoring; AI-based anomaly detection; Anomaly detection; Data prioritization; Edge computing; Healthcare monitoring; Intelligent data; Intelligent data prioritization; Real- time; Remote health monitoring; Smart remote healthcare monitoring; algorithm; artificial intelligence; cloud computing; computer security; human; physiologic monitoring; procedures; remote sensing; telemedicine; wearable electronic device; Fog computing","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024630931"
"Raj G.; Dubey G.; Dubey A.K.; Jit K.; Punhani A.; Das N.N.","Raj, Gaurav (58518549300); Dubey, Gaurav (57188636482); Dubey, Anil Kumar (55424782800); Jit, Kamal (60166693300); Punhani, Akash (25640266200); Das, Nripendra Narayan (57208597247)","58518549300; 57188636482; 55424782800; 60166693300; 25640266200; 57208597247","A Privacy-Preserving and Interpretable Federated Learning Framework With Clinician Feedback for Multi-Hospital Clinical Decision Support","2025","Concurrency and Computation: Practice and Experience","37","27-28","e70365","","","3","10.1002/cpe.70365","https://www.scopus.com/pages/publications/105020574788?origin=resultslist","Federated learning has revolutionized collaborative clinical modeling in multi-hospital networks by enabling privacy-preserving analysis of distributed healthcare data. However, challenges such as Data Heterogeneity across Hospitals, Privacy Attacks via Model Updates, Interpretability and Clinician Trust hinder its practical deployment. The Proposed Privacy-Respectful Interpretable Federated Learning with Intelligent Clinician Feedback Loop Collaboration Network (PRIFLIC-Net) framework addresses these issues by integrating advanced federated learning with privacy-preserving and interpretable artificial intelligence (AI) techniques tailored for clinical decision support systems. Each participating hospital processes its local Electronic Health Records (EHRs) using a Knowledge Abstraction and Filtering Module, which extracts structured and unstructured clinical features. These features feed into a Residual Deep Belief Network, which captures complex hierarchical patterns while mitigating vanishing gradient issues through residual connections. To ensure data privacy, a Privacy-Preserving Transformation Layer applies differential privacy with Gaussian noise and homomorphic encryption, securing local model updates against privacy attacks. The Distributed Federated Aggregation Module employs FedNova and attention-based weighting to fairly aggregate updates across heterogeneous data silos, enhancing robustness and scalability. A Global Model Update module synchronizes knowledge with adaptive learning rates, ensuring stable convergence. The Explainability and Clinician Feedback Layer integrates SHAP-based feature importance visualizations and real-time clinician input, fostering transparency and trust critical for clinical adoption. Evaluated on the MIMIC-IV dataset, PRIFLIC-Net achieves superior performance with 88.4% accuracy, 87.9% precision, 86.3% recall, 87.1% F1-Score, 0.93 AUC-ROC, 0.82 MCC, and a 0.118 Brier Score, outperforming state-of-the-art models. By mitigating privacy risks and ensuring regulatory compliance, PRIFLIC-Net delivers scalable, interpretable, and trustworthy clinical decision support across hospital-wide, ICU, and emergency settings. The integration of advanced federated learning techniques with real-time clinician feedback ensures not only enhanced diagnostic accuracy but also fosters practitioner trust. PRIFLIC-Net stands poised to revolutionize privacy-preserving AI deployment in healthcare, marking a significant step toward secure, transparent, and collaborative medical intelligence, ultimately contributing to safer and more effective patient care. © 2025 John Wiley & Sons Ltd.","federated learning; model interpretability; privacy-preserving clinical decision support; residual deep belief network","Abstracting; Artificial intelligence; Complex networks; Diagnosis; Differential privacy; Distributed computer systems; Federated learning; Feedback; Hospitals; Learning systems; Medical computing; Metadata; Privacy-preserving techniques; Transparency; Clinical decision support; Deep belief networks; Interpretability; Model interpretability; Model updates; Privacy Attacks; Privacy preserving; Privacy-preserving clinical decision support; Real- time; Residual deep belief network; Regulatory compliance","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105020574788"
"Chen G.; Song T.; Wang Q.; Ma Z.; Hu J.; Li Q.; Wu C.","Chen, Guanyu (57193015233); Song, Tao (57192874171); Wang, Quanyu (56097801200); Ma, Zheng (58684720800); Hu, Jun (58737427200); Li, Qi (59078051700); Wu, Chunming (57212683853)","57193015233; 57192874171; 56097801200; 58684720800; 58737427200; 59078051700; 57212683853","Knowledge graph and large language model integration with focus on educational applications: A survey","2025","Neurocomputing","654","","131230","","","9","10.1016/j.neucom.2025.131230","https://www.scopus.com/pages/publications/105013774546?origin=resultslist","In recent years, artificial intelligence (AI) technology has made significant advancements, particularly in the areas of large language models (LLMs) and knowledge graphs (KGs). KGs excel at structured knowledge representation and reasoning, offering interpretability; however, they are costly to construct, have limited coverage, and lack natural language processing capabilities. Conversely, LLMs possess powerful language understanding and generation abilities, but they rely heavily on vast amounts of data, are prone to “hallucinations,"" and lack interpretability. The integration of these two approaches is an inevitable trend for achieving stronger and more reliable AI applications, and has become a hot topic of research. Simultaneously, the combination of LLMs and KGs perfectly aligns with the pressing needs of the education field for precise reasoning and personalized services, addressing the shortcomings of traditional teaching methods and providing support for intelligent education. In light of this, this paper undertakes work in the following three key areas. Firstly, the concepts and technologies of both LLMs and KGs, along with their applications in education, are introduced. On this basis, the paper then delves into a discussion of the methods for integrating LLMs and KGs, and reviews related research progress. Finally, the paper focuses on specific educational scenarios, such as intelligent tutoring systems, intelligent learning companions, and intelligent evaluation systems, to explore the collaborative application of LLMs and KGs. The aim of this paper is to provide researchers in the field with a systematic understanding of LLMs and KGs, and to offer valuable references for future AI-driven educational innovation. © 2025 Elsevier B.V.","Educational application; Knowledge graph; Large language model; Pre-training; Retrieval augmented generation","Computer aided instruction; Education computing; Engineering education; Knowledge graph; Learning systems; Teaching; Artificial intelligence technologies; Educational Applications; Excel; Interpretability; Knowledge graphs; Language model; Large language model; Models integration; Pre-training; Retrieval augmented generation; Article; artificial intelligence; ChatGPT; computer security; deep learning; Domain Knowledge Graph; Dynamic Knowledge Graph; economic aspect; education; electronic commerce; Entity Linking; gated recurrent unit network; General Knowledge Graph; generative artificial intelligence; generative pretrained transformer; graph attention network; graph neural network; hallucination; health care utilization; health survey; hidden Markov model; image recognition (algorithm); information processing; intelligence; intelligent tutoring system; Internet; knowledge graph; Knowledge Graph Completion Distillation model; Knowledge Graph Prompting; large language model; logistic regression analysis; long short term memory network; Named Entity Recognition; natural language processing; prediction; professional development; quality control; recurrent neural network; Relation Extraction; risk management; semantics; Static Knowledge Graph; support vector machine; teaching; transfer learning (machine learning); unsupervised machine learning; Natural language processing systems","Article","Final","","Scopus","2-s2.0-105013774546"
"Deveci D.G.; Barandır T.K.; Ünverdi Ö.; Celebi C.; Temur L.Ö.; Atilla D.Ç.","Deveci, D. Gemici (57191292086); Barandır, T. Karakoyun (59664099800); Ünverdi, Ö. (26434008100); Celebi, C. (22940196500); Temur, L.Ö. (59483545300); Atilla, D.Ç. (55370746100)","57191292086; 59664099800; 26434008100; 22940196500; 59483545300; 55370746100","Comprehensive analysis and machine learning-based solutions for drift behavior in ambient Atomic Force Microscope conditions","2025","Engineering Applications of Artificial Intelligence","159","","111678","","","4","10.1016/j.engappai.2025.111678","https://www.scopus.com/pages/publications/105010562030?origin=resultslist","This study outlines the effectiveness of combining numerical methods, Computer Vision (CV) and Machine Learning (ML) approaches to analyze and predict drift behavior in high-resolution Atomic Force Microscope (AFM) scanning procedures. Using Long Short-Term Memory (LSTM) models for time series analysis and the Light Gradient Boosting Machine (LightGBM) algorithm for predictive modeling, significant progress was achieved in understanding the dynamic and variable nature of drift and mitigating its impact on scanning. The models demonstrated a robust predictive capability, achieving approximately 94% accuracy in drift predictions. The study emphasizes the nonstationary characteristics of drift and demonstrates how the selection of features directly related to the target variable enhances the efficiency of the model and enables adaptive real-time correction. These findings confirm the predictive strength of the models and highlight the potential for integrating ML predictions with real-time feedback mechanisms to improve the resolution and stability of AFM imaging in both scientific and industrial applications. © 2025 Elsevier Ltd","Artificial Intelligence; Atomic Force Microscope; Computer Vision; Deep learning; Drift; Machine Learning","Atomic force microscopy; Learning systems; Machine learning; Numerical methods; Prediction models; Predictive analytics; Time series analysis; Ambients; Atomic force; Atomic force microscope; Comprehensive analysis; Condition; Deep learning; Drift; Machine learning approaches; Machine-learning; Vision learning; Computer vision","Article","Final","","Scopus","2-s2.0-105010562030"
"Kannengießer N.; Hasebrook N.; Morsbach F.; Zöller M.-A.; Franke J.K.H.; Lindauer M.; Hutter F.; Sunyaev A.","Kannengießer, Niclas (57211206495); Hasebrook, Niklas (59741466500); Morsbach, Felix (57224806308); Zöller, Marc-André (57200419565); Franke, Jörg K.H. (57219620326); Lindauer, Marius (56032621900); Hutter, Frank (55931808800); Sunyaev, Ali (24779131200)","57211206495; 59741466500; 57224806308; 57200419565; 57219620326; 56032621900; 55931808800; 24779131200","Practitioner Motives to Use Different Hyperparameter Optimization Methods","2025","ACM Transactions on Computer-Human Interaction","32","6","59","","","1","10.1145/3745771","https://www.scopus.com/pages/publications/105027953834?origin=resultslist","Programmatic hyperparameter optimization (HPO) methods, such as Bayesian optimization and evolutionary algorithms, are known for their sample efficiency in identifying optimal configurations for machine learning (ML) models. However, practitioners often use less efficient methods, such as grid search, potentially resulting in under-optimized models. This discrepancy suggests that HPO method selection may be influenced by practitioner-specific motives, which remain insufficiently understood hindering user-centered advancement of HPO tools. To uncover these motives, we conducted 20 semi-structured interviews and an online survey with 49 ML practitioners. We revealed six primary goals (e.g., increasing ML model understanding) and 14 contextual factors (e.g., available computational resources) that influence practitioners’ choices of HPO methods. This study provides a conceptual foundation for understanding real-world HPO practices and informs the development of more user-centered and context-adaptive HPO tools in automated ML (AutoML). © 2025 Copyright held by the owner/author(s).","Artificial Intelligence (AI); Automated Machine Learning (AutoML); Human-AI Collaboration; Hyperparameter Optimization (HPO); User-centered HPO","Automation; Bayesian networks; Human computer interaction; Information use; Learning algorithms; Learning systems; Machine learning; Optimization; Artificial intelligence; Automated machine learning; Automated machines; Human-artificial intelligence collaboration; Hyper-parameter optimizations; Hyperparameter optimization; Machine-learning; User-centered hyperparameter optimization; User-centred; Evolutionary algorithms","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105027953834"
"Abdul-Rahman G.; Zwitter A.; Haleem N.","Abdul-Rahman, Germain (59216312700); Zwitter, Andrej (55460277400); Haleem, Noman (60008199100)","59216312700; 55460277400; 60008199100","A systematic literature review on the role of artificial intelligence in citizen science","2025","Discover Artificial Intelligence","5","1","165","","","4","10.1007/s44163-025-00437-z","https://www.scopus.com/pages/publications/105011251616?origin=resultslist","Citizen science (CS) has emerged as a collaborative process for addressing complex scientific and societal challenges. The emergence of artificial intelligence (AI) into CS projects, has transformed data collection, analysis, and validation steps. However, significant gaps remain in understanding the methodologies, applications, and challenges of AI-CS integration. Our systematic review seeks to address the gaps by answering three questions: (1) What AI methodologies are most commonly applied in CS projects? (2) How does AI integration impact the efficiency and scalability of CS initiatives? (3) What challenges arise from AI-CS integration, and how are they mitigated? Following the PRISMA-ScR guidelines, a systematic search of Scopus, ACM Digital Library, and Web of Science identified relevant articles published between 2013 and 2024. From an initial pool of 2,470 publications, 90 were retained after filtering through the eligibility criteria. Our findings illustrate ML techniques, including deep learning, clustering algorithms, and convolutional neural networks, boost data annotation, classification, and validation in applications across various disciplines. However, challenges such as data quality variability, algorithmic opacity, and scalability constraints persist. Our conclusion identifies the multifaceted role of AI in citizen science, categorized into three primary functions: (1) assisting or replacing humans in task completion, (2) influencing human behaviour and fostering engagement, and (3) improving insights through pattern identification and decision support. © The Author(s) 2025.","Artificial intelligence (AI); Citizen science (CS); Machine learning (ML)","Behavioral research; Clustering algorithms; Convolutional neural networks; Deep learning; Digital libraries; Distributed computer systems; Integration; Learning algorithms; Learning systems; Scalability; Artificial intelligence; Citizen science; Collaborative process; Data validation; Machine learning; Machine-learning; Science integrations; Science projects; Systematic literature review; Decision support systems","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105011251616"
