"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Kang J.; Zheng B.; Guo Y.; Li X.; Tao J.; Zhou Y.; Wei Q.; Feng Q.; Lu R.","Kang, Junxi (58870627600); Zheng, Bowen (57222483102); Guo, Yang (60616575200); Li, Xinyan (57218262478); Tao, Jie (56763296400); Zhou, Yujia (56420790100); Wei, Qiang (55553728381); Feng, Qianjin (57911196000); Lu, Renquan (7402970117)","58870627600; 57222483102; 60616575200; 57218262478; 56763296400; 56420790100; 55553728381; 57911196000; 7402970117","ProMA-Net: MR–TRUS prostate registration via a dual-stream Swin Transformer-based network with mixed attention","2026","Neural Networks","202","","109042","","","0","10.1016/j.neunet.2026.109042","https://www.scopus.com/pages/publications/105037938959?origin=resultslist","Multimodal registration between magnetic resonance (MR) and transrectal ultrasound (TRUS) prostate images is crucial for targeted biopsy and therapy, yet this task remains extremely challenging due to complex cross-modality anatomical correspondences, fusion conflicts between modality-specific and modality-common features, and difficulty in balancing computational efficiency and registration accuracy. We address the challenging problem of deformable registration between preoperative MR and intraoperative TRUS prostate images by proposing a novel dual-stream Swin Transformer-based network. Our model processes MR and TRUS volumes with separate Swin Transformer-based encoding streams, and employs the Window Self-Cross Mixed Attention (WSCMA) mechanism with alternating window shifts to enable efficient multimodal feature fusion without the computational overhead of explicit attention. In addition, we introduce a lightweight Gating Cross-Feature Fusion (GCFF) module that adaptively reweights cross-modal features and a Multi-Scale Patch-Neighborhood Modality-Independent Neighborhood Descriptor (MIND) Contrastive Loss to reinforce both global and local anatomical alignment. We evaluate our approach on the public μProReg prostate dataset. Our method achieves superior registration accuracy, with the highest prostate Dice overlap and the lowest target registration error among recent advanced methods and shows the potential to improve image-guided prostate interventions by more accurately fusing MR and ultrasound data. The code is publicly available at https://github.com/Hongzunhei/ProMA-NET. © 2026 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Contrastive loss; MR–TRUS; Prostate image registration; Transformer","Algorithms; Humans; Magnetic Resonance Imaging; Male; Neural Networks, Computer; Prostate; Prostatic Neoplasms; Ultrasonography; Computational efficiency; Data mining; Diseases; Image registration; Magnetic resonance; Medical imaging; Ultrasonics; Contrastive loss; Cross modality; Images registration; Magnetic resonance–transrectal ultrasound; Multimodal registration; Prostate image registration; Prostate images; Registration accuracy; Transformer; Transrectal ultrasound; Article; computer assisted tomography; convolutional neural network; deep learning; diffusion weighted imaging; image analysis; image reconstruction; image segmentation; learning algorithm; machine learning; natural language processing; nonhuman; nuclear magnetic resonance; nuclear magnetic resonance imaging; power supply; prostate cancer; swin transformer based network; three-dimensional imaging; transrectal ultrasonography; ultrasound; algorithm; artificial neural network; diagnostic imaging; echography; human; male; nuclear magnetic resonance imaging; procedures; prostate; prostate tumor; Image enhancement; Urology","Article","Final","","Scopus","2-s2.0-105037938959"
"Borzì A.","Borzì, Alfio (6603632708)","6603632708","Geometric perspectives on multi-input reservoir computing","2026","Neural Networks","200","","108838","","","1","10.1016/j.neunet.2026.108838","https://www.scopus.com/pages/publications/105034211671?origin=resultslist","A geometric framework for multi-input reservoir computing is developed. Channel-wise Gramians, principal angles, and a coupling index are used to characterise collapse, decoupling, and a nontrivial multimodal regime within a single recurrent system. Structured sparse input pathways are shown to realise this intermediate regime, and the analysis is extended to nonlinear tanh  reservoirs through time-varying linearisations and local Gramians. CLIP-style contrastive experiments on synthetic paired features and on small paired data constructed from Flickr8k images by index alignment, together with a coupled chaotic benchmark based on two weakly interacting Lorenz systems, illustrate the three regimes. The results indicate that the nontrivial structured case yields a balanced internal multimodal geometry and competitive retrieval and multi-task prediction, while the proposed diagnostics provide an interpretable tool to analyse and design multi-input reservoir couplings. © 2026 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/","Contrastive learning; Controllability gramians; Multimodal systems; Principal angles; Reservoir computing","Algorithms; Neural Networks, Computer; Nonlinear Dynamics; Soft Computing; Contrastive Learning; Geometry; Controllability gramians; Coupling indices; Decouplings; Geometric framework; Gramians; Multi-modal; Multiinput; Multimodal system; Principal angles; Reservoir Computing; Article; dynamics; geometry; human; learning; machine learning; multi input reservoir computing; multimodal imaging; nonlinear system; numeracy; algorithm; artificial neural network; soft computing; Controllability","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105034211671"
"Park H.","Park, Hyeokjoo (57244522200)","57244522200","On the approximation capability of shallow and deep neural networks having smooth activations with respect to the Sobolev norm","2026","Neural Networks","201","","108935","","","0","10.1016/j.neunet.2026.108935","https://www.scopus.com/pages/publications/105034727898?origin=resultslist","AbstractIn this paper, we investigate the simultaneous approximation of the functions and their derivatives by neural networks having smooth non-polynomial activation functions and a fixed depth, which is motivated by the physics-informed machine learning. We start by proving that the neural networks with smooth non-polynomial activation functions and with only one hidden layer having width (Formula presented) can approximate any Ws,p-regular function with rate (Formula presented) in the Wk,p-norm. We then extend this result to the networks having more than one hidden layers by using the mathematical induction. © 2026 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Deep learning; Neural networks; Smooth activation functions; Sobolev norm; Universal approximation","Algorithms; Deep Learning; Neural Networks, Computer; Soft Computing; Abstracting; Chemical activation; Data mining; Learning systems; Polynomial approximation; Activation functions; Approximation capabilities; Deep learning; Hidden layers; Machine-learning; Neural-networks; Simultaneous approximation; Smooth activation function; Sobolev norms; Universal approximation; article; data mining; deep learning; deep neural network; diagnosis; machine learning; nerve cell network; algorithm; artificial neural network; soft computing; Deep neural networks","Article","Final","","Scopus","2-s2.0-105034727898"
"Yang Y.-F.; Gao Y.; Cui M.-L.; Gao Y.-L.; Wang Y.-L.; Liu J.-X.","Yang, Yan-Fang (59925516700); Gao, Yue (58663833300); Cui, Ming-Li (59755626900); Gao, Ying-Lian (37461419600); Wang, Yan-Li (55771863500); Liu, Jin-Xing (55813486900)","59925516700; 58663833300; 59755626900; 37461419600; 55771863500; 55813486900","Bi-directional attention network with drop aggregation for microRNA-disease association prediction","2026","Neural Networks","201","","108942","","","0","10.1016/j.neunet.2026.108942","https://www.scopus.com/pages/publications/105035263521?origin=resultslist","Identifying the potential relationships between microRNAs (miRNAs) and human diseases is vital for advancing our knowledge of pathological mechanisms and promoting therapeutic development. Nevertheless, many current computational models make insufficient use of heterogeneous biological resources and depend on simplistic feature extraction, which limits their ability to capture the intricate non-linear associations between miRNAs and diseases. To overcome these challenges, we present BADMDA, an innovative framework that combines centered kernel alignment-based multiple kernel learning (CKA-MKL), drop aggregation (DropAGG), and a bi-directional attention mechanism. In this design, CKA-MKL adaptively assigns weights to different similarity kernels, thereby achieving an effective integration of diverse information sources. Based on established miRNA-disease associations (MDAs), we then build a bipartite attributed graph, where DropAGG learns expressive multi-level features and alleviates over-smoothing. The bi-directional attention component further improves feature quality by capturing reciprocal dependencies between diseases and miRNAs. A multi-layer perceptron is finally employed to infer novel associations from the enhanced representations. The superior accuracy of BADMDA is attributed to its ability to adaptively fuse heterogeneous similarities and retain complex non-linear dependencies through attention-driven feature learning. On HMDD v2.0 and HMDD v3.2, it achieves AUC values of 0.9372 and 0.9533 and AUPR values of 0.9348 and 0.9525, respectively, surpassing ten advanced methods. Case studies on lung neoplasms and hepatocellular carcinoma further confirm the robustness and biological relevance of BADMDA. © 2026 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Bi-directional attention network; Drop aggregation; MicroRNA-disease associations","Algorithms; Humans; MicroRNAs; Multilayer Perceptrons; Neural Networks, Computer; Artificial intelligence; Bioinformatics; Data mining; RNA; microRNA; 'current; Bi-directional; Bi-directional attention network; Disease associations; Drop aggregation; Human disease; Kernel alignments; Microrna-disease association; Multiple Kernel Learning; Non linear; algorithm; artificial neural network; genetics; human; multilayer perceptron; Drops","Article","Final","","Scopus","2-s2.0-105035263521"
"Yang H.; Lyu M.; Xie H.; Xiao J.; Liu S.","Yang, Huaishui (59838664800); Lyu, Mengye (57189026245); Xie, Huhan (59714120100); Xiao, Jie (60132685100); Liu, Shaojun (57193215094)","59838664800; 57189026245; 59714120100; 60132685100; 57193215094","Toward robust histopathology imaging: An unsupervised framework for artifact detection, localization, and restoration","2026","Medical Image Analysis","113","","104215","","","0","10.1016/j.media.2026.104215","https://www.scopus.com/pages/publications/105044587661?origin=resultslist","Whole Slide Images are central to modern pathology and computational histopathology. However, tissue processing and slide scanning can introduce artifacts that degrade image quality and hinder computer-aided diagnosis (CAD) systems. Therefore, automated artifact processing has drawn much attention in recent years. Nevertheless, current methods exhibit limitations, including reliance on annotated data and inadequate pixel-level localization capabilities, resulting in fragmented workflows. To address these challenges, we propose an unsupervised automatic pipeline for artifact detection, localization, and restoration. First, based on the features extracted by the histopathology foundation model, anomaly heatmaps are generated using Normalizing Flow to enable precise artifact detection. Subsequently, optimal artifact masks are identified via anomaly heatmaps and unsupervised semantic segmentation for accurate localization. Finally, a mask-guided artifact restoration is performed using a diffusion model. Experimental results demonstrate that our method effectively handles synthetic and real-world artifacts using only normal training data and improves downstream performance on both BCSS segmentation and TCGA-BLCA tumor staging classification, confirming our method’s efficacy in bolstering the robustness of CAD systems, reducing manual verification, and providing an automated solution for artifacts in histopathology images. © 2026 Elsevier B.V.","Artifact localization; Artifact restoration; Histopathology image; Unsupervised","Algorithms; Artifacts; Humans; Image Enhancement; Image Interpretation, Computer-Assisted; Pattern Recognition, Automated; Reproducibility of Results; Unsupervised Machine Learning; Computer aided design; Computer aided diagnosis; Image enhancement; Image quality; Image segmentation; Masks; Semantics; Artifact detection; Artifact localization; Artifact restoration; Computer aided diagnosis systems; Heatmaps; Histopathology image; Localisation; Tissue processing; Unsupervised; Whole slide images; Article; histopathology; human; human tissue; image artifact; image segmentation; sensitivity analysis; algorithm; artifact; automated pattern recognition; computer assisted diagnosis; image enhancement; procedures; reproducibility; unsupervised machine learning; Restoration","Article","Final","","Scopus","2-s2.0-105044587661"
"Zhang Y.; Guo D.; Huang X.; He C.","Zhang, Yongde (55740036900); Guo, Dong (59323802200); Huang, Xuequan (59747733300); He, Chuang (56525802000)","55740036900; 59323802200; 59747733300; 56525802000","Compliance Control of a Robotic Breast Ultrasound System Based on Variable Admittance Control","2026","International Journal of Medical Robotics and Computer Assisted Surgery","22","4","e70194","","","0","10.1002/rcs.70194","https://www.scopus.com/pages/publications/105043846647?origin=resultslist","Introduction: In a robotic breast ultrasound (US) system (RBUS), ensuring patient safety, comfort, and high compliance is critical. Method: To improve low system compliance, this study proposes a Variable Admittance Control based on the Critical Damping Ratio (VAC-CDR). This algorithm enhances force control accuracy and compliance by adaptively adjusting damping and stiffness coefficients. Furthermore, a Breast Surface Adaptive Control Strategy (BrS-ACS) is introduced. This strategy adjusts the alignment of the probe with the normal of the breast surface. Meanwhile, the influence of admittance parameters on compliance is experimentally analysed, with an error band used for evaluation. Results: The simulation and experimental validation demonstrate that the VAC-CDR algorithm achieves excellent compliance, robustness, and a force control precision of 0.4 N, while the BrS-ACS ensures accurate and reliable scanning of the US probe. Conclusion: This study contributes to the advancement of automated US image scanning. © 2026 John Wiley & Sons Ltd.","","Algorithms; Breast; Computer Simulation; Equipment Design; Female; Humans; Phantoms, Imaging; Reproducibility of Results; Robotic Surgical Procedures; Robotics; Ultrasonography, Mammary; Adaptive control systems; Electric admittance; Force control; Probes; Ultrasonics; Adaptive control strategy; Admittance control; Breast ultrasound; Control accuracy; Critical damping; Damping ratio; High compliances; Patient safety; Safety compliances; Ultrasound system; accuracy; algorithm; Article; automation; clinical evaluation; control strategy; controlled study; echomammography; human; patient compliance; reliability; rigidity; simulation; breast; computer simulation; devices; diagnostic imaging; equipment design; female; imaging phantom; procedures; reproducibility; robot assisted surgery; robotics; Compliance control","Article","Final","","Scopus","2-s2.0-105043846647"
"Chen Z.; Shan Z.; Chang J.; Jiang K.; Yang D.; Cheng Y.; Li J.; Zhang W.","Chen, Zhaoyu (57222719235); Shan, Zhengyang (58155781700); Chang, Jingwen (58893871900); Jiang, Kaixun (57581365000); Yang, Dingkang (57345560900); Cheng, Yiting (57214244603); Li, Jinglun (58904307000); Zhang, Wenqiang (59659699500)","57222719235; 58155781700; 58893871900; 57581365000; 57345560900; 57214244603; 58904307000; 59659699500","Delving into the adversarial robustness of semantic segmentation with decision-based black-box attacks","2026","Neural Networks","202","","109020","","","0","10.1016/j.neunet.2026.109020","https://www.scopus.com/pages/publications/105037967280?origin=resultslist","Semantic segmentation is critical for security-sensitive applications, yet its robustness against black-box decision-based adversarial attacks—the most practical attack setting—has not been fully investigated. In this paper, we first explore decision-based black-box attacks on semantic segmentation and clarify task-specific challenges. To address these challenges, we first propose a decision-based attack on semantic segmentation, called Discrete Linear Attack (DLA). DLA innovatively adopts discrete linear noises for perturbation exploration and calibration, combined with random search and a proxy index, to achieve high attack efficiency. We conduct adversarial robustness evaluation on 11 models from 4 datasets under 10 attacks. Specifically, DLA shows its formidable power on Cityscapes by dramatically reducing PSPNet’s mIoU from an impressive 77.83% to a mere 2.14% with just 50 queries. Our code is available at https://github.com/Omenzychen/Discrete_Linear_Attack. © 2026 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Adversarial examples; Adversarial robustness; Black-box attacks; Semantic segmentation","Algorithms; Neural Networks, Computer; Semantics; Semantic Segmentation; Semantics; Adversarial robustness; Black boxes; Black-box attack; Decision-based; Power; Random searches; Robustness evaluation; Semantic segmentation; Sensitive application; adversarial example; article; calibration; data mining; human; noise; algorithm; artificial neural network; semantics; Data mining","Article","Final","","Scopus","2-s2.0-105037967280"
"Li H.; Liu J.; Schüffler P.; Han H.; Zhou S.K.","Li, Han (57189660257); Liu, Jingsong (58179697400); Schüffler, Peter (22036306700); Han, Hu (57565013600); Zhou, Shaohua Kevin (59602052000)","57189660257; 58179697400; 22036306700; 57565013600; 59602052000","MoMBS: Mixed-order sampling improves training on heterogeneous-quality data for universal lesion detection","2026","Medical Image Analysis","113","","104209","","","0","10.1016/j.media.2026.104209","https://www.scopus.com/pages/publications/105045222141?origin=resultslist","Universal lesion detection (ULD) in computed tomography plays an essential role in computer-aided diagnosis. However, images in ULD tasks often exhibit substantial variations in quality, including issues such as limited clarity and inaccurate labels. Effectively leveraging training images with heterogeneous qualities thus becomes a significant challenge. Existing training strategies, such as self-paced learning (SCL) and hard example mining (OHEM), attempt to address this by reweighting high-loss samples. However, they often rely solely on loss, which inadequately captures sample difficulty, and may lead to over- or under-utilization of hard samples. To tackle this, we revisit the role of minibatch sampling (MBS) and propose a novel Mixed-order Minibatch Sampling (MoMBS) approach. MoMBS introduces a joint measure based on both loss and uncertainty, moving beyond sole reliance on loss. This enables a finer-grained categorization of high-loss samples by distinguishing between those that are poorly labeled and underrepresented, versus those that are overfitted but well represented. Motivated by human learning behavior, we prioritize underrepresented samples as the main contributors to the minibatch gradient and protect them from being overwhelmed by noisy or overfitted examples via a mixed-order sampling design. This leads to a more accurate estimation of sample difficulty and avoids indiscriminate treatment in the utilization of hard examples. Our primary experiments on DeepLesion for ULD show that MoMBS improves over two state-of-the-art (SOTA) methods across three different dataset settings by 0.97%–7.28%. To further verify its generalizability, we evaluate MoMBS on three additional tasks: Seg-19 (up to 2.3% improvement over five SOTA baselines), CIFAR100-LT (up to 5.3% over nine SOTA methods), and CIFAR100-NL (up to 4.6% over five SOTA methods), consistently outperforming existing approaches. Code: https://github.com/lhlm1994/MoMBS Copyright © 2026. Published by Elsevier B.V.","Minibatch sampling; Robust learning; Universal lesion detection","Algorithms; Humans; Machine Learning; Radiographic Image Interpretation, Computer-Assisted; Tomography, X-Ray Computed; Behavioral research; Computerized tomography; Data mining; Diseases; Error detection; Computer-aided; Detection tasks; Five state; Lesion detection; Minibatch sampling; Mixed order; Quality data; Robust learning; State-of-the-art methods; Universal lesion detection; Article; computer assisted tomography; controlled study; coronavirus disease 2019; imaging and display; noise; residual neural network; uncertainty; universal lesion detection; algorithm; computer assisted diagnosis; human; machine learning; procedures; x-ray computed tomography; Computer aided diagnosis","Article","Final","","Scopus","2-s2.0-105045222141"
"Yang D.; Li D.; Ma J.; Lu Y.; Li Y.; Fang L.; Xie W.","Yang, Danian (59390815500); Li, Daixun (58569204400); Ma, Jitao (58454401100); Lu, Yibing (58813498700); Li, Yunsong (55986546100); Fang, Leyuan (60431133200); Xie, Weiying (56768656200)","59390815500; 58569204400; 58454401100; 58813498700; 55986546100; 60431133200; 56768656200","FA-Mamba: frequency attention driven Mamba for multimodal remote sensing classification","2026","Neural Networks","201","","108931","","","0","10.1016/j.neunet.2026.108931","https://www.scopus.com/pages/publications/105035200195?origin=resultslist","Multimodal remote sensing classification plays a vital role in areas such as resource exploration and disaster monitoring. However, noise and redundancy across different modalities often hinder effective feature fusion. Existing approaches mainly rely on Transformer and Mamba architectures. While Transformer-based models suffer from high computational cost and inefficient long-range dependency modeling, Mamba improves efficiency but still focuses primarily on spatial-temporal domain modeling, with limited exploration of frequency-domain. This restricts the discriminative capacity of the fused representations. To overcome these limitations, we propose FA-Mamba, a frequency attention driven Mamba multimodal remote sensing classification network. With a focus on computational efficiency ensured by linear complexity, FA-Mamba adaptively enhances the complementary information between modalities while effectively suppressing noise and redundancy in cross-modal data, enabling more robust feature fusion. Additionally, to effectively capture global contextual information, we design a coordinate fusion attention (CFA) mechanism. By integrating spatial cues along different directions, the method incorporates long-range correlations across modalities. This facilitates a more comprehensive understanding of complementary multimodal information. Extensive experiments conducted on three public multimodal remote sensing datasets demonstrate the effectiveness of our approach. FA-Mamba achieves superior performance compared to state-of-the-art methods, with an average overall accuracy of 95.84%. Our code is available at https://github.com/dnyeee/FA-Mamba. © 2026 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Fast Fourier transform; Feature fusion; Multimodal classification; Remote sensing","Algorithms; Attention; Humans; Neural Networks, Computer; Remote Sensing Technology; Classification (of information); Computational efficiency; Data mining; Modal analysis; Natural resources exploration; Remote sensing; Text processing; Computational costs; Dependency model; Disaster monitoring; Fast fourier; Features fusions; Long-range dependencies; Multi-modal; Multimodal classification; Remote sensing classification; Remote-sensing; algorithm; artificial neural network; attention; classification; human; procedures; remote sensing; Fast Fourier transforms","Article","Final","","Scopus","2-s2.0-105035200195"
"Ciampi L.; Lagani G.; Amato G.; Falchi F.","Ciampi, Luca (57203482128); Lagani, Gabriele (57211208665); Amato, Giuseppe (35963890600); Falchi, Fabrizio (22940819900)","57203482128; 57211208665; 35963890600; 22940819900","Biologically-inspired semi-supervised semantic segmentation for biomedical imaging","2026","Neural Networks","201","","108925","","","0","10.1016/j.neunet.2026.108925","https://www.scopus.com/pages/publications/105036176642?origin=resultslist","We propose a novel bio-inspired two-stage semi-supervised learning approach for training semantic segmentation models based on downsampling-upsampling architectures. The first stage does not use backpropagation. Rather, it exploits the Hebbian principle “fire together, wire together” as a local learning rule for updating the weights of both convolutional and transpose-convolutional layers, allowing unsupervised discovery of data features. In the second stage, the model is fine-tuned with standard backpropagation on a small subset of labeled data. We evaluate our methodology through experiments conducted on several widely used biomedical datasets, deeming that this domain is paramount in computer vision and is notably impacted by data scarcity. Results show that our proposed method outperforms SOTA approaches across different levels of label availability. Furthermore, we show that using our unsupervised stage to initialize the SOTA approaches leads to performance improvements. The code to replicate our experiments can be found at https://tinyurl.com/hebbian-semantic-segmentation. © 2026 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/","Bio-inspired computer vision; Biomedical imaging; Hebbian learning; Human-inspired computer vision; Semantic segmentation; Semi-supervised learning","Algorithms; Convolutional Neural Networks; Diagnostic Imaging; Humans; Image Processing, Computer-Assisted; Semantics; Supervised Machine Learning; Backpropagation; Biomimetics; Computer vision; Convolution; Labeled data; Self-supervised learning; Semantic Segmentation; Semantics; Semi-supervised learning; Bio-inspired computer vision; Biologically-inspired; Biomedical imaging; Hebbian learning; Human-inspired computer vision; Segmentation models; Semantic segmentation; Semi-supervised; Semi-supervised learning; Supervised learning approaches; article; back propagation; computer vision; human; imaging; learning; surgery; algorithm; convolutional neural network; diagnostic imaging; image processing; procedures; semantics; supervised machine learning; Medical imaging","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105036176642"
