"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Šoberl D.; Kalin J.; Anžlin A.; Kreslin M.; Čopič Pucihar K.; Kljun M.; Hekič D.; Žnidarič A.","Šoberl, Domen (55826412400); Kalin, Jan (55217935900); Anžlin, Andrej (56674538800); Kreslin, Maja (34872596700); Čopič Pucihar, Klen (42762031000); Kljun, Matjaž (14019698800); Hekič, Doron (57303841100); Žnidarič, Aleš (6506050864)","55826412400; 55217935900; 56674538800; 34872596700; 42762031000; 14019698800; 57303841100; 6506050864","Enhanced precision in axle configuration inference for bridge weigh-in-motion systems using computer vision and deep learning","2025","Computer-Aided Civil and Infrastructure Engineering","40","30","","6201","6216","0","10.1111/mice.70144","https://www.scopus.com/pages/publications/105021876434?origin=resultslist","Heavy goods vehicles (HGVs) have a significant impact on road and bridge infrastructure, with overloaded vehicles accelerating structural deterioration and increasing safety risks. Bridge weigh-in-motion (B-WIM) systems estimate gross vehicle weight (GVW) using strain measurements, but inaccuracies in axle configuration recognition can reduce reliability. This study presents a low-cost computer vision (CV) extension for existing B-WIM installations that verifies strain-inferred axle configurations using traffic camera images and flags GVW estimates as reliable or unreliable. Experiments on a data set of over 30,000 HGV records show that by combining convolutional neural networks with strain-based heuristics, GVW reliability can improve from 96.7% to 99.89%, effectively excluding nearly all erroneous measurements. The approach operates without interrupting ongoing B-WIM operations and can be applied retrospectively to historical data. Limitations include the inability to detect raised axles (RAs), which the method excludes as unreliable. This method provides a practical, high-precision enhancement for structural health monitoring of bridges. © 2025 The Author(s). Computer-Aided Civil and Infrastructure Engineering published by Wiley Periodicals LLC on behalf of Editor.","","Axles; Bridges; Computer vision; Convolutional neural networks; Costs; Deep learning; Strain measurement; Structural health monitoring; Vehicles; Axle configurations; Bridge infrastructure; Gross vehicle weight; Heavy goods vehicles; Overloaded vehicles; Road infrastructures; Roads and bridges; Safety risks; Structural deterioration; Weigh-in-motion systems; bridge; computer vision; machine learning; precision; strain measurement; transport vehicle; Deterioration","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021876434"
"Peng J.; Jia S.; Zhang J.; Wang Y.; Yu Z.; Liu J.K.","Peng, Jing (60006997500); Jia, Shanshan (57214857264); Zhang, Jiyuan (56764086400); Wang, Yongxing (57193215477); Yu, Zhaofei (56912616000); Liu, Jian K. (57202579249)","60006997500; 57214857264; 56764086400; 57193215477; 56912616000; 57202579249","Decoding natural visual scenes via learnable representations of neural spiking sequences","2025","Neural Networks","192","","107863","","","0","10.1016/j.neunet.2025.107863","https://www.scopus.com/pages/publications/105011203775?origin=resultslist","Visual input underpins cognitive function by providing the brain with essential environmental information. Neural decoding of visual scenes seeks to reconstruct pixel-level images from neural activity, a vital capability for vision restoration via brain-computer interfaces. However, extracting visual content from time-resolved spiking activity remains a significant challenge. Here, we introduce the Wavelet-Informed Spike Augmentation (WISA) model, which applies multilevel wavelet transforms to spike trains to learn compact representations that can be directly fed into deep reconstruction networks. When tested on recorded retinal spike data responding to natural video stimuli, WISA substantially improves reconstruction accuracy, especially in recovering fine-grained details. These results emphasize the value of temporal spike patterns for high-fidelity visual decoding and demonstrate WISA as a promising model for visual decoding. © 2025 The Author(s)","Deep learning; Neural network; Neural spike; Video; Vision; Wavelet","Action Potentials; Animals; Brain-Computer Interfaces; Humans; Learning; Models, Neurological; Neural Networks, Computer; Neurons; Photic Stimulation; Visual Perception; Wavelet Analysis; Brain; Brain computer interface; Decoding; Deep neural networks; Image reconstruction; Neurons; Wavelet transforms; Cognitive functions; Deep learning; Environmental information; Neural decoding; Neural spike; Neural-networks; Pixel level; Video; Visual scene; Wavelet; Article; cognition; decoding; deep learning; nerve cell; nerve cell network; retina; spike; videorecording; wavelet transform; action potential; animal; artificial neural network; biological model; brain computer interface; human; learning; nerve cell; photostimulation; physiology; procedures; vision; wavelet analysis; Vision","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105011203775"
"Yang H.; Wang P.; Wang Y.; Billinghurst M.; Luo R.; Zhang Y.","Yang, Huan (59154650500); Wang, Peng (57205365393); Wang, Yue (57200056860); Billinghurst, Mark (7006142663); Luo, Rong (58955625700); Zhang, Yi (55912101500)","59154650500; 57205365393; 57200056860; 7006142663; 58955625700; 55912101500","Product assembly quality inspection of gap spacing using machine vision and human-centered AR visualization","2025","Computers and Industrial Engineering","210","","111531","","","4","10.1016/j.cie.2025.111531","https://www.scopus.com/pages/publications/105016459809?origin=resultslist","During industrial inspection activities, it is crucial for users to provide quick feedback, accurate inspection results, and human-centered intuitive visualization. To improve performance and increase the reliability of the system, this work proposed a SAR- and machine Vision-assisted- Inspection (SARMVI) approach using the advantage of projector-based AR and deep learning-based line detection. In particular, the examination of gap spacing applies the line detection algorithm of Mobile Line Segment Detection (MLSD). Thus, the assessment outcomes can be robustly and efficiently visualized through the virtual-real fusion. We compared the traditional method of using a Feeler Gauge-assisted Inspection (FGI), screen-based method (SMVI), and SARMVI according to the different interactive interfaces, through a case study. Experimental results showed that the SARMVI method for the quality inspection activities on gap spacing can improve the performance, precision, and visual perception experience, compared with SMVI. The preliminary results reveal that the SMVI and SARMVI inspection methods are effective and promising for industrial inspection applications. Finally, our approach has advantages but also limitations in product gap detection, such as the planar surface requirement for inspection, manual light adjustment needed across environments in the study. © 2025 Elsevier Ltd","Augmented reality; Human-computer interaction; Machine vision; Mobile line segment detection (MLSD); Quality inspection","Computer vision; Deep learning; Human computer interaction; Inspection; Machine vision; Virtual reality; Visualization; Computer interaction; Gap spacing; Industrial inspections; Inspection activities; Inspection methods; Line segment detection; Machine-vision; Mobile line segment detection; Quality inspection; Vision-assisted; Augmented reality","Article","Final","","Scopus","2-s2.0-105016459809"
"Shome N.","Shome, Nirupam (57160003900)","57160003900","An efficient parallel network for speech emotion recognition for noisy data condition","2025","Journal of the Franklin Institute","362","18","108232","","","0","10.1016/j.jfranklin.2025.108232","https://www.scopus.com/pages/publications/105024240710?origin=resultslist","Accurately figuring out an individual's emotional states from audio data is the goal of automatic Speech Emotion Recognition (SER). Applications of SER range from psychological diagnosis to human-computer interaction; hence, accurate classification needs a robust framework. Careful feature extraction is crucial for emotion identification. In order to get high prediction accuracy, this study recommends prioritizing the extraction of independent features utilizing feature fusion technology. For this reason, a hybrid approach combining deep learning and automated feature engineering is proposed to recognize emotions with high accuracy. This study simultaneously employed convolutional neural network (CNN)-based networks and attention-based networks to determine spatial attributes and temporal feature representations. To extract self-learned features and improve classification results, the pipeline takes Mel-spectrograms of raw audio signals and employs a hybrid deep learning model with CNN, Pretrained ResNet, and Transformer encoder. Comparing the proposed network against existing parallel and non-parallel models, the findings were favourable in terms of accuracy, precision, recall, F-1 score, and MCC. The highest accuracy of 94.30% has been achieved by the proposed parallel network using clean data. Furthermore, the model achieved accuracy of 91.23% and 90.45% on noisy data contaminated with pink and white noise respectively. The proposed framework outperforms all other current SER studies in both clean and noisy data scenarios. Using RAVDES datasets, the 5-fold cross-validation methodology is used to test the different approaches. It is shown to outperform several other contemporary prior methodologies in the literature, demonstrating the excellence and reliability of this investigation. © 2025 The Franklin Institute. Published by Elsevier Inc. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Emotion recognition; Hybrid model; Noisy data condition; Parallel network","Data accuracy; Data mining; Deep learning; Extraction; Feature extraction; Human computer interaction; Learning systems; Psychology computing; Speech communication; Speech recognition; Statistical tests; White noise; Condition; Convolutional neural network; Emotion recognition; Emotional state; High-accuracy; Hybrid model; Noisy data; Noisy data condition; Parallel network; Speech emotion recognition; Emotion Recognition","Article","Final","","Scopus","2-s2.0-105024240710"
"Bakshi A.; Pramanik S.; Caragea D.; Somayanda I.; Kumar R.; Bangari M.; Bean S.R.; Emendack Y.; Hayes C.M.; Jagadish S.V.K.","Bakshi, Aliva (59712214100); Pramanik, Swaraj (60017106200); Caragea, Doina (35615386800); Somayanda, Impa (59997971400); Kumar, Ritesh (55371399900); Bangari, Mayank (58003033200); Bean, Scott R. (7004919796); Emendack, Yves (50461380300); Hayes, Chad M. (55802583300); Jagadish, S.V. Krishna (58156125200)","59712214100; 60017106200; 35615386800; 59997971400; 55371399900; 58003033200; 7004919796; 50461380300; 55802583300; 58156125200","Sorghum-grain-count: A large image dataset and benchmark for sorghum grain count estimation","2025","Smart Agricultural Technology","12","","101218","","","1","10.1016/j.atech.2025.101218","https://www.scopus.com/pages/publications/105011855217?origin=resultslist","Trait-based breeding has been shown to enhance and sustain yield potential of various crops under current and future changing climate. To be successful, trait-based breeding requires extensive phenotyping of plants in large-scale field trials that may include hundreds of genotypes. Computer vision approaches have been used extensively for image-based high-throughput phenotyping of diverse traits. However, studies focused on estimating grain count, a trait that directly influences the overall yield, are limited due to a lack of benchmark grain image datasets. In this work, we focus on grain count estimation in sorghum, a crop that holds immense significance for both food and energy production. We introduce a large Sorghum-Grain-Count (SGC) dataset consisting of (front and back, with and without flash) images of 1264 panicles from 316 genotypes (i.e., 4 panicles per genotype), for a total of approximately 5000 images, as well as approximately 12,500 images containing the corresponding threshed grains, together with machine counts per panicle. To develop baseline models, we manually annotated grains in images from 100 genotypes using bounding boxes. We used the manually annotated images to train baseline models for small object detection and counting. We also trained regression-based models for grain count estimation. The best overall model for count estimation from panicle images was a regression model, which achieved a mean absolute percent error of 29.97 and an R2 value of 0.75. We make our dataset and baselines publicly available to facilitate further research on grain count estimation in sorghum and other crops. © 2025 The Authors","Deep learning; Panicle images; Plant phenotype; Small object detection; Sorghum grain count estimation","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105011855217"
"Chen H.; Zeng W.; Chen C.; Cai L.; Wang F.; Shi Y.; Wang L.; Zhang W.; Li Y.; Yan H.; Siok W.T.; Wang N.","Chen, Hongyu (59214960600); Zeng, Weiming (13605397000); Chen, Chengcheng (57961341800); Cai, Luhui (59214668400); Wang, Fei (59308435800); Shi, Yuhu (56849621800); Wang, Lei (58608267600); Zhang, Wei (59301263600); Li, Yueyang (59214522400); Yan, Hongjie (57193274756); Siok, Wai Ting (57203623779); Wang, Nizhuan (44361489400)","59214960600; 13605397000; 57961341800; 59214668400; 59308435800; 56849621800; 58608267600; 59301263600; 59214522400; 57193274756; 57203623779; 44361489400","EEG Emotion Copilot: Optimizing lightweight LLMs for emotional EEG interpretation with assisted medical record generation","2025","Neural Networks","192","","107848","","","20","10.1016/j.neunet.2025.107848","https://www.scopus.com/pages/publications/105010851567?origin=resultslist","In the fields of affective computing (AC) and brain-computer interface (BCI), the analysis of physiological and behavioral signals to discern individual emotional states has emerged as a critical research frontier. While deep learning-based approaches have made notable strides in EEG emotion recognition, particularly in feature extraction and pattern recognition, significant challenges persist in achieving end-to-end emotion computation, including rapid processing, individual adaptation, and seamless user interaction. This paper presents the EEG Emotion Copilot, a system optimizing a lightweight large language model (LLM) with 0.5B parameters operating in a local setting, which first recognizes emotional states directly from EEG signals, subsequently generates personalized diagnostic and treatment suggestions, and finally supports the automation of assisted electronic medical records. Specifically, we demonstrate the critical techniques in the novel data structure of prompt, model pruning and fine-tuning training, and deployment strategies aiming at improving performance and computational efficiency. Extensive experiments show that our optimized lightweight LLM-based copilot achieves an enhanced intuitive interface for participant interaction, superior accuracy of emotion recognition and assisted electronic medical records generation, in comparison to such models with similar scale parameters or large-scale parameters such as 1.5B, 1.8B, 3B and 7B. In summary, through these efforts, the proposed copilot is expected to advance the application of AC in the medical domain, offering innovative solution to mental health monitoring. The codes will be released at https://github.com/NZWANG/EEG_Emotion_Copilot. © 2025 Elsevier Ltd","Assisted electronic medical record; Emotion recognition; Lightweight LLM; Model fine-tuning; Model pruning","Brain-Computer Interfaces; Deep Learning; Electroencephalography; Electronic Health Records; Emotions; Humans; Behavioral research; Biomedical signal processing; Brain computer interface; Deep learning; Electroencephalography; Electronic health record; Emotion Recognition; Interface states; Learning systems; Medical computing; Pattern recognition; Psychology computing; User interfaces; Affective Computing; Assisted electronic medical record; Emotion recognition; Emotional state; Fine tuning; Language model; Lightweight large language model; Medical record; Model fine-tuning; Model pruning; adult; Alzheimer disease; Article; artificial intelligence; convolutional neural network; data interpretation; deep learning; depression; electroencephalogram; electronic medical record; emotion; epilepsy; feature extraction; female; fine tuning training; human; human experiment; large language model; male; medical record; mental health; neurologic disease; pattern recognition; physiology; recurrent neural network; schizophrenia; training; young adult; brain computer interface; electroencephalography; electronic health record; procedures; Computational efficiency","Article","Final","","Scopus","2-s2.0-105010851567"
"Gan T.; Zhang C.; Wang P.; Liang X.; Ye X.","Gan, Tianyuan (57222399904); Zhang, Chongan (57222402772); Wang, Peng (57221311502); Liang, Xiao (35215541000); Ye, Xuesong (7401899160)","57222399904; 57222402772; 57221311502; 35215541000; 7401899160","Revisiting Challenges in Real-world Video Colonoscopy using End-to-End Two Stream Polyp Detection Transformer (TS-PDTR)","2025","Journal of Medical Systems","49","1","129","","","0","10.1007/s10916-025-02271-3","https://www.scopus.com/pages/publications/105018293455?origin=resultslist","Accurate polyp detection is essential for the early diagnosis and effective treatment of colorectal cancer (CRC). However, colonoscopy videos in real-world clinical settings present significant challenges, often causing existing algorithms to fail. Compared to single images, videos contain richer temporal and contextual information, making them valuable for developing deep-learning-based detection systems. To address these challenges, we propose an end-to-end Two-Stream Polyp Detection Transformer (TS-PDTR) network. First, our framework uses a two-stream feature extraction network to capture both spatial and temporal features from the RGB frames and optical flow. Then, the proposed Detail-Aware Convolution (DAConv) module enhances fine-grained contextual information in low-level features. Following this, the Detail-Guided Attention (DGA) module generates channel-specific Spatial Attention Maps (SAMs) to refine deep feature maps, improving the model’s sensitivity to small and camouflaged polyps. Finally, a Flow Fusion Encoder (FFE) module combines temporal cues from optical flow to increase robustness against poor single-frame image quality. Experiments on three benchmark video colonoscopy datasets show that TS-PDTR consistently outperforms previous state-of-the-art image- and video-based polyp detection methods. Notably, our model achieves a mean Average Precision (mAP) of 33.2 on the most challenging LDPolypVideo dataset. It also improves the mAP to 64.0 and 55.6 on the SUN Colonoscopy Video Database and CVC-VideoClinicDB, respectively. In summary, TS-PDTR is a promising video-based polyp detection method with strong potential for further development and real-world clinical application. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Colonoscopy; Detection transformer; Optical flow; Video polyp detection","Algorithms; Colonic Polyps; Colonoscopy; Colorectal Neoplasms; Deep Learning; Humans; Image Interpretation, Computer-Assisted; Image Processing, Computer-Assisted; Video Recording; angular difference convolution; Article; benchmarking; central difference convolution; colonoscopy; colorectal cancer; colorectal polyp; comparative study; computer aided design; convolutional block attention module; convolutional neural network; cost; data corruption; deep learning; detail aware convolution; detail guided attention; detection algorithm; diagnostic accuracy; diagnostic test accuracy study; distribution shift; false negative result; false positive result; feature attention mechanism; feature extraction; flow fusion encoder; horizontal difference convolution; human; image processing; image quality; mean average precision; optic flow; qualitative analysis; quantitative analysis; reliability; residual neural network; sensitivity analysis; spatial attention map; spatiotemporal analysis; squeeze and excitation module; two stream polyp detection transformer; vanilla convolution; vertical difference convolution; videoendoscopy; algorithm; colon polyp; colorectal tumor; computer assisted diagnosis; deep learning; diagnosis; diagnostic imaging; image processing; procedures; videorecording","Article","Final","","Scopus","2-s2.0-105018293455"
"Olza A.; Soto D.; Santana R.","Olza, Alexander (58521155500); Soto, David (8501597500); Santana, Roberto (8847615900)","58521155500; 8501597500; 8847615900","Domain Adaptation-enhanced searchlight: enabling classification of brain states from visual perception to mental imagery","2025","Brain Informatics","12","1","17","","","1","10.1186/s40708-025-00263-0","https://www.scopus.com/pages/publications/105009369560?origin=resultslist","In cognitive neuroscience and brain-computer interface research, accurately predicting imagined stimuli is crucial. This study investigates the effectiveness of Domain Adaptation (DA) in enhancing imagery prediction using primarily visual data from fMRI scans of 18 subjects. Initially, we train a baseline model on visual stimuli to predict imagined stimuli, utilizing data from 14 brain regions. We then develop several models to improve imagery prediction, comparing different DA methods. Our results demonstrate that DA significantly enhances imagery prediction in binary classification on our dataset, as well as in multiclass classification on a publicly available dataset. We then conduct a DA-enhanced searchlight analysis, followed by permutation-based statistical tests to identify brain regions where imagery decoding is consistently above chance across subjects. Our DA-enhanced searchlight predicts imagery contents in a highly distributed set of brain regions, including the visual cortex and the frontoparietal cortex, thereby outperforming standard cross-domain classification methods. The complete code and data for this paper have been made openly available for the use of the scientific community. © The Author(s) 2025.","Brain decoding; Domain Adaptation; FMRI; Searchlight","Brain; Classification (of information); Forecasting; Interfaces (computer); Tunneling (excavation); Baseline models; Brain decoding; Brain regions; Brain state; Cognitive neurosciences; Domain adaptation; FMRI; Mental imagery; Visual data; Visual perception; adaptation; Article; binary classification; brain; brain region; cognitive neuroscience; deep learning; Domain Adaptation; electroencephalogram; frontoparietal cortex; functional magnetic resonance imaging; fusiform gyrus; hemodynamics; human; image segmentation; imagery; logistic regression analysis; machine learning; mental imagery; neuroimaging; support vector machine; vision; visual cortex; Brain computer interface","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105009369560"
"Narasimha Raju A.S.; Hussain S.J.; Rajababu M.; Gatla R.K.; Venkatesh K.; Guntreddi V.","Narasimha Raju, Akella S. (59942665100); Hussain, Shaik Jakeer (58654360300); Rajababu, M. (57355911400); Gatla, Ranjith Kumar (57202774397); Venkatesh, K. (58694896600); Guntreddi, Venkataramana (57224315662)","59942665100; 58654360300; 57355911400; 57202774397; 58694896600; 57224315662","CADxPolydetect: a clinically explainable hybrid deep learning system for multi-class colorectal lesion detection using augmented colonoscopy images","2025","BMC Medical Informatics and Decision Making","25","1","335","","","5","10.1186/s12911-025-03176-4","https://www.scopus.com/pages/publications/105017414431?origin=resultslist","Colorectal cancer (CRC) continues to be a significant global health issue as a result of the difficulties associated with the early and precise detection of lesions through colonoscopy. We propose CADxPolyDetect, a clinically explainable hybrid deep learning system for multi-class colorectal lesion detection using augmented colonoscopy images, to address diagnostic limitations that arise from class imbalance, interpretability gaps, and spatial complexity in colonoscopic images. A five-stage experimental pipeline is integrated into the framework. Initially, the original Hyper Kvasir dataset (10,672 images) is augmented to 23,000 images using Deep Convolutional Generative Adversarial Networks (DCGAN) and class balanced using SMOTE. Three pre-trained CNNs—ResNet-50, DenseNet-201, and VGG-16—are implemented in Stage 2 to execute end-to-end feature extraction. Transformer networks are integrated with these CNNs in Stage 3 to capture global spatial dependencies. Stage 4 incorporates multi-class support vector machines (SVM) for the final classification of 23 colorectal conditions. Stage 5 improves interpretability by utilising Grad-CAM to produce clinically relevant heatmaps that localise malignant polyps and facilitate transparent decision-making. The DenseNet-201 + Transformer + Multi-Class SVM model showed the best results of all the setups tested, achieving an overall accuracy of 98%, an F1-score of 0.98, a precision of 97%, and a recall of 99%, based on a 70:30 split of training and testing data. Robustness, precision, and clinical trust are guaranteed through the integration of attention-based visualisations, deep ensemble learning, and augmented data. Therefore, CADxPolyDetect sets a new benchmark in AI-supported colonoscopy by offering a decision support system that is easy to understand and can grow to meet needs for the early detection and screening of colorectal cancer. © The Author(s) 2025.","CADxPolyDetect; Colorectal cancer; Convolutional neural networks (CNN); Deep learning; Diagnostic accuracy; Generative adversarial networks (GAN); Grad-CAM; Image augmentation; Support vector machine (SVM); Synthetic Minority Over-Sampling Technique (SMOTE); Transformer networks","Colonoscopy; Colorectal Neoplasms; Convolutional Neural Networks; Deep Learning; Generative Adversarial Networks; Humans; Image Interpretation, Computer-Assisted; colonoscopy; colorectal tumor; computer assisted diagnosis; convolutional neural network; deep learning; diagnosis; diagnostic imaging; generative adversarial network; human; procedures","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105017414431"
"Zou J.; Xie X.; Tang G.","Zou, Jia (58697060300); Xie, Xiongyao (15137753600); Tang, Genji (57200106808)","58697060300; 15137753600; 57200106808","A method for detecting construction deviations in large and complex building structures utilizing synthetic point clouds for segmentation","2025","Computer-Aided Civil and Infrastructure Engineering","40","31","","6597","6621","3","10.1111/mice.70171","https://www.scopus.com/pages/publications/105023430719?origin=resultslist","Point cloud-based construction quality assessment and quality control (QA/QC) are playing an increasingly important role in large-scale complex building projects. However, this approach faces several challenges, such as the laborious and time-intensive process of manual point cloud segmentation, the high cost of point cloud labeling, and the lack of sufficient training data for deep learning-based automatic segmentation methods. To address these issues, this paper proposed a method for detecting construction deviations in large-scale complex building structures by utilizing synthetic point clouds for segmentation. The method automatically generated labeled synthetic point clouds with Gaussian noise using BIM and a virtual engine, significantly augmenting the limited amount of real point cloud data to train the semantic segmentation model, enabling the achievement of 94.2% overall accuracy (OA) and 81.1% mean intersection over union (M_IoU). Furthermore, a point cloud instance segmentation method according to density-based spatial clustering of applications with noise (DBSCAN) and voxel-vs-BIM was proposed to independently compare each instance object of different building components with its corresponding BIM model, assessing the construction accuracy of each component based on root mean square error metric and the level of accuracy specification. For components with an LOA3 accuracy level, further deviation analysis was conducted. Taking the structural construction deviation detection of beams, columns, and concrete thick shells in the core area of the Shanghai Grand Opera House as a case, the proposed method significantly improved the efficiency of QA/QC. © 2025 The Author(s). Computer-Aided Civil and Infrastructure Engineering published by Wiley Periodicals LLC on behalf of Editor.","","Buildings; Construction; Data accuracy; Deep learning; Image segmentation; Labeled data; Quality control; Semantics; Building projects; Building structure; Cloud-based; Complex buildings; Construction quality; Large buildings; Large-scales; Point-clouds; Quality assessment; Segmentation methods; accuracy assessment; assessment method; building; column; comparative study; complexity; computer simulation; efficiency measurement; numerical model; project assessment; quality control; segmentation; structural analysis; structural component; Gaussian noise (electronic); Mean square error","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105023430719"
