"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Guo J.; Zhang M.","Guo, Junkai (60234522600); Zhang, Mingjiang (24462622600)","60234522600; 24462622600","An Improved YOLOv11 Recognition Algorithm for Heavy-Duty Trucks on Highways","2025","Electronics (Switzerland)","14","23","4621","","","1","10.3390/electronics14234621","https://www.scopus.com/pages/publications/105024530093?origin=resultslist","This paper presents an enhanced YOLOv11-based algorithm for highway freight truck tarpaulin recognition to enhance real-time performance and accuracy in identifying truck axle types and tarpaulin materials. The proposed methodology incorporates four key innovations. First, the lightweight Spatial and Channel Reconstruction Convolution (SCConv) module is introduced to replace standard convolutional layers in the YOLOv11 backbone feature extraction network, which enables maintaining strong feature extraction capabilities while reducing model parameters and computational complexity. Second, a Channel-Spatial Multi-scale Attention Module (CSMAM) is integrated with the C3k2 module of the YOLOv11 feature fusion network, thereby strengthening the network’s capacity to learn both truck body features and tarpaulin coverage characteristics. Third, a novel Dual-Enhanced Channel Detection Head (DEC-Head) detector is designed to improve recognition performance under ambiguous conditions and reduce parameter quality. Finally, the SIoU loss function is adopted to replace the conventional bounding box loss function, substantially improving prediction box accuracy. Comprehensive experimental results demonstrate that compared to the baseline YOLOv11 algorithm, our proposed method achieves an approximate 4.4% increase in precision, 5.2% improvement in recall rate, and 7.2% higher mean Average Precision (mAP), while also achieving a significant improvement in inference speed (Frames Per Second, FPS), establishing superior recognition performance for truck tarpaulin detection tasks. © 2025 by the authors.","attention mechanism; detection head; loss function; truck tarpaulin recognition; YOLOv11","Convolution; Distributed computer systems; Feature extraction; Image processing; Inference engines; Network layers; Trucks; Attention mechanisms; Detection head; Features extraction; Heavy-duty trucks; Highway freights; Loss functions; Performance; Recognition algorithm; Truck tarpaulin recognition; YOLOv11; Extraction","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024530093"
"Gan T.; Zhang C.; Wang P.; Liang X.; Ye X.","Gan, Tianyuan (57222399904); Zhang, Chongan (57222402772); Wang, Peng (57221311502); Liang, Xiao (35215541000); Ye, Xuesong (7401899160)","57222399904; 57222402772; 57221311502; 35215541000; 7401899160","Revisiting Challenges in Real-world Video Colonoscopy using End-to-End Two Stream Polyp Detection Transformer (TS-PDTR)","2025","Journal of Medical Systems","49","1","129","","","0","10.1007/s10916-025-02271-3","https://www.scopus.com/pages/publications/105018293455?origin=resultslist","Accurate polyp detection is essential for the early diagnosis and effective treatment of colorectal cancer (CRC). However, colonoscopy videos in real-world clinical settings present significant challenges, often causing existing algorithms to fail. Compared to single images, videos contain richer temporal and contextual information, making them valuable for developing deep-learning-based detection systems. To address these challenges, we propose an end-to-end Two-Stream Polyp Detection Transformer (TS-PDTR) network. First, our framework uses a two-stream feature extraction network to capture both spatial and temporal features from the RGB frames and optical flow. Then, the proposed Detail-Aware Convolution (DAConv) module enhances fine-grained contextual information in low-level features. Following this, the Detail-Guided Attention (DGA) module generates channel-specific Spatial Attention Maps (SAMs) to refine deep feature maps, improving the model’s sensitivity to small and camouflaged polyps. Finally, a Flow Fusion Encoder (FFE) module combines temporal cues from optical flow to increase robustness against poor single-frame image quality. Experiments on three benchmark video colonoscopy datasets show that TS-PDTR consistently outperforms previous state-of-the-art image- and video-based polyp detection methods. Notably, our model achieves a mean Average Precision (mAP) of 33.2 on the most challenging LDPolypVideo dataset. It also improves the mAP to 64.0 and 55.6 on the SUN Colonoscopy Video Database and CVC-VideoClinicDB, respectively. In summary, TS-PDTR is a promising video-based polyp detection method with strong potential for further development and real-world clinical application. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Colonoscopy; Detection transformer; Optical flow; Video polyp detection","Algorithms; Colonic Polyps; Colonoscopy; Colorectal Neoplasms; Deep Learning; Humans; Image Interpretation, Computer-Assisted; Image Processing, Computer-Assisted; Video Recording; angular difference convolution; Article; benchmarking; central difference convolution; colonoscopy; colorectal cancer; colorectal polyp; comparative study; computer aided design; convolutional block attention module; convolutional neural network; cost; data corruption; deep learning; detail aware convolution; detail guided attention; detection algorithm; diagnostic accuracy; diagnostic test accuracy study; distribution shift; false negative result; false positive result; feature attention mechanism; feature extraction; flow fusion encoder; horizontal difference convolution; human; image processing; image quality; mean average precision; optic flow; qualitative analysis; quantitative analysis; reliability; residual neural network; sensitivity analysis; spatial attention map; spatiotemporal analysis; squeeze and excitation module; two stream polyp detection transformer; vanilla convolution; vertical difference convolution; videoendoscopy; algorithm; colon polyp; colorectal tumor; computer assisted diagnosis; deep learning; diagnosis; diagnostic imaging; image processing; procedures; videorecording","Article","Final","","Scopus","2-s2.0-105018293455"
"Karthikeyan S.; Muthu Kumar B.; Kiran M.L.; Srivatsan K.","Karthikeyan, S. (59904369600); Muthu Kumar, B. (56884576400); Kiran, M.L. (59379090700); Srivatsan, K. (57197711533)","59904369600; 56884576400; 59379090700; 57197711533","Computational Brain Imaging Framework for Neurological Mapping and Disorder Classification Using Multimodal Image Processing","2025","International Journal of Computational Intelligence Systems","18","1","121","","","4","10.1007/s44196-025-00852-1","https://www.scopus.com/pages/publications/105005502707?origin=resultslist","Complex neurological illnesses necessitate modern facilities’ computational methods for precise mapping and categorization of brain activities. For the diagnosis and tracking of conditions including epilepsy, Parkinson’s disease, and Alzheimer’s, precise brain mapping is essential. When it comes to diagnostic accuracy and scalability, traditional methods frequently encounter problems, including data heterogeneity, low resolution, and computational inefficiencies. Dealing with large-scale imaging datasets, enhancing the reliability of disease categorization in varied patient groups, and overcoming the limitations of cross-modality data fusion are the primary challenges. The multimodal neuro-cognitive imaging computational technique (MN-CICT) has been suggested in this research to overcome the above challenges. MN-CICT thoroughly extracts and analyses structural and functional brain data by integrating multiple imaging modalities, such as MRI, fMRI, PET, and CT. Improved resolution and interpretability of neurological mappings are achieved by the use of adaptive feature extraction, multimodal data fusion, and advanced machine learning techniques by MN-CICT. Because of its focus on computing efficiency, the framework additionally seems well suited for use in real-time scenarios. Neurodegenerative disease research, therapy planning, and clinical diagnostics are among the many areas that can benefit greatly from the framework. In comparison to current methods, the simulation results show a considerable decrease in processing time and an improvement in classification accuracy. This exemplifies its promise to enhance diagnostic results and simplify neuroimaging operations. The MN-CICT is a revolutionary method to brain imaging, which paves the way for the development of novel applications in the fields of brain–computer interfaces, customized medicine, and automated diagnostics. © The Author(s) 2025.","Brain; Classification; Computation; Disorder; Image processing; Imaging; Mapping; Multimodal; Neuro-cognitive; Neurological","Arthroplasty; Brain mapping; Image coding; Image enhancement; Image fusion; Large datasets; Medical computing; Neurons; Photointerpretation; Brain activity; Brain imaging; Computational technique; Condition; Disorder; Images processing; Multi-modal; Multimodal images; Neuro-cognitive; Neurological; Neurodegenerative diseases","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105005502707"
"Fadia L.; Shah V.; Hassanzadeh M.; Wu J.; Ahmadi M.","Fadia, Love (59937398600); Shah, Vatsal (59937398700); Hassanzadeh, Mohammad (55983553600); Wu, Jonathan (55613291700); Ahmadi, Majid (7103163168)","59937398600; 59937398700; 55983553600; 55613291700; 7103163168","A novel multi-modal dual pathway network with hierarchical channel-spatial attention and adaptive feature fusion for viral genomic variant classification","2025","Network Modeling Analysis in Health Informatics and Bioinformatics","14","1","75","","","1","10.1007/s13721-025-00576-4","https://www.scopus.com/pages/publications/105012300761?origin=resultslist","Purpose Classification of viral DNA sequences poses significant challenges in computational genomics, particularly in multi-class classification across diverse diseases. Existing studies often focus on binary or small-scale classifications, leaving a gap in addressing large-scale problems. Unbalanced datasets, where certain classes dominate due to limited data availability, further hinder model generalizability and accuracy. This article addresses these challenges and gaps in literature. We selected 17 distinct variants across six viruses: SARS-CoV-2 variants (Alpha, Delta, Omicron), Influenza subtypes (Alpha, Beta, Delta, Gamma), Hepatitis virus variants (B, C, D, E), Dengue Virus (Type1, Type 2, Type 3, Type 4), HIV, and Ebola. This study includes the largest number of distinct variants in a balanced dataset for classification reported in the literature. Methods Using a balanced dataset of 17,000 samples, the study ensures robust model performance while mitigating data imbalance biases. A novel Multi-Modal Dual Pathway Network is proposed, leveraging hierarchical channel-spatial attention and adaptive feature fusion to integrate complementary features. Genomic image processing techniques, including frequency chaos game representation (FCGR), Markov transition fields (MTF), and Gramian angular summation fields (GAF), enhance feature extraction. ResNet-50 pathways with convolutional block attention module (CBAM) refine feature maps for both scratch-trained and pre-trained pathways. Results The proposed model achieves a peak accuracy of 99.17% with MTF Order 2 fused with MTF Order 4. Other combinations, such as FCGR K=2 fused with MTF Order 4, also exceed 99.09% accuracy, demonstrating scalability and effectiveness. Conclusion This work sets a new benchmark for viral DNA classification, addressing data imbalance and advancing computational genomics through innovative methodologies. © The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature 2025.","Deep learning; Feature fusion; Genomic sequences; Image processing","Bioinformatics; Classification (of information); Computer viruses; Diseases; DNA sequences; Genes; Image enhancement; Markov processes; Viruses; nucleotide; Adaptive features; Deep learning; Features fusions; Genomic sequence; Genomics; Images processing; Multi-modal; Spatial attention; Transition fields; Viral DNA; accuracy; adaptive feature fusion; algorithm; amino acid sequence; architecture; Article; artificial neural network; bioinformatics; controlled study; convolutional neural network; coronavirus disease 2019; data visualization; deep learning; dengue; diagnostic test accuracy study; DNA sequence; evaluation study; fever; fractal analysis; frequency; gene sequence; genetic variability; hepatitis C; hepatitis virus; hierarchical channel spatial attention; human; image processing; influenza; learning algorithm; machine learning; mathematical analysis; mathematical model; multimodal imaging; prediction; prevalence; probability; receiver operating characteristic; residual neural network; sensitivity and specificity; support vector machine; virus; virus genome; virus strain; Deep learning","Article","Final","","Scopus","2-s2.0-105012300761"
"Li H.; Ren J.; Wang Y.; Liu D.; Yang L.; Liu B.","Li, Hongyu (59892572800); Ren, Jieshu (58990849800); Wang, Yichao (58991402200); Liu, Dongpei (58728184100); Yang, Liang (57210378679); Liu, Bin (56267085200)","59892572800; 58990849800; 58991402200; 58728184100; 57210378679; 56267085200","Automatic Anterior Cruciate Ligament Insertion Center Positioning Method Framework for Isometric Reconstruction and Anatomical Reconstruction","2025","International Journal for Numerical Methods in Biomedical Engineering","41","10","e70105","","","0","10.1002/cnm.70105","https://www.scopus.com/pages/publications/105018648434?origin=resultslist","Anterior cruciate ligament (ACL) reconstruction is a complex surgical procedure with high precision requirements. One of the most critical steps during the operation is the accurate localization of the insertion center and the proper placement of the graft. However, under limited visibility of the arthroscope, surgeons often face challenges in determining the correct position and angle. In this paper, we propose a novel framework for insertion center localization, incorporating two reconstruction approaches. First, an isometric reconstruction method based on 3D geometric processing algorithms is proposed, which leverages the feature lines and points of the geometric morphology of the actual bone model. This method ensures accurate alignment with bones of varying shapes. Second, a novel U-shaped network (EP-UNet), which integrates axial edge and coordinate features, is proposed for medical image segmentation to facilitate anatomical reconstruction. Experimental results demonstrate that EP-UNet exhibits superior performance in ACL segmentation tasks, achieving high accuracy and robustness. Compared to the baseline network, it improves the mean Intersection over Union (mIoU) by 8.16%, providing strong support for ligament image segmentation. This framework allows surgeons to efficiently and automatically determine the position of the patient's insertion center, addressing the challenge of clinical localization with high reliability and improving surgical success rates. © 2025 John Wiley & Sons Ltd.","anatomical reconstruction; isometric reconstruction; ligament segmentation; personalized insertion center localization","Algorithms; Anterior Cruciate Ligament; Anterior Cruciate Ligament Reconstruction; Humans; Image Processing, Computer-Assisted; Imaging, Three-Dimensional; 3D reconstruction; Bone; Geometry; Image reconstruction; Ligaments; Mathematical morphology; Medical imaging; Morphology; Surgery; Three dimensional computer graphics; Anatomical reconstruction; Anterior cruciate ligament; Anterior-Cruciate-Ligament reconstruction; Center positioning; Isometric reconstruction; Ligament segmentation; Localisation; Personalized insertion center localization; Positioning methods; Surgical procedures; algorithm; anterior cruciate ligament; anterior cruciate ligament reconstruction; diagnostic imaging; human; image processing; procedures; surgery; three-dimensional imaging; Image enhancement; Image segmentation","Article","Final","","Scopus","2-s2.0-105018648434"
"Shen D.; Gao X.; Tong J.; Feng J.; Huang Z.; Zhang T.; Li J.; Zhao S.; Zhu Y.; Xu Y.; Yuan S.; Jin C.; Tong H.","Shen, Dan (23969319000); Gao, Xiangli (56942028100); Tong, Jixiang (58157972500); Feng, Junlin (60205317400); Huang, Zhen (60205317500); Zhang, Ting (60205317600); Li, Jianghu (60205317700); Zhao, Shuqi (57212560241); Zhu, Yijing (57218685033); Xu, Yinqing (60205354200); Yuan, Shuchong (58157064600); Jin, Cheng (60205120900); Tong, Hongyan (8289383600)","23969319000; 56942028100; 58157972500; 60205317400; 60205317500; 60205317600; 60205317700; 57212560241; 57218685033; 60205354200; 58157064600; 60205120900; 8289383600","A large dataset of bone marrow cells in myelodysplastic syndrome for classification systems","2025","Scientific Data ","12","1","1849","","","2","10.1038/s41597-025-06027-z","https://www.scopus.com/pages/publications/105022522163?origin=resultslist","Bone marrow smear cytomorphology serves as the cornerstone for diagnosing hematological malignancies. It is particularly complex in myelodysplastic syndrome (MDS), which brings challenges to automated image analysis approaches. This dataset provides 25,009 images of the bone marrow cells from 125 patients with MDS. Image tags consist of 27 categories, including normal cells and abnormal cells in MDS that are characterized by pathological hematopoiesis, such as micro megakaryocytes. Each label underwent rigorous review by up to three independent experts. Cells were cropped after converting their bounding boxes into squares based on the longest side and expansion by 10% to guarantee the integrity of the cell boundaries and morphological features in the cropped images while minimum surrounding cells were included. Through training using this database, an AI model could attain the ability to differentiate dysplastic cells. © The Author(s) 2025.","","Bone Marrow Cells; Humans; Image Processing, Computer-Assisted; Myelodysplastic Syndromes; bone marrow cell; classification; human; image processing; myelodysplastic syndrome; pathology","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105022522163"
"Pilli R.; Goel T.; Murugan R.","Pilli, Raveendra (58109407600); Goel, Tripti (55787396200); Murugan, R. (37061613800)","58109407600; 55787396200; 37061613800","Hybrid feature fusion and randomized regression network for brain age prediction using magnetic resonance imaging: Analyzing age-related cortical structure variations in healthy adults","2025","Biomedical Signal Processing and Control","110","","108255","","","2","10.1016/j.bspc.2025.108255","https://www.scopus.com/pages/publications/105010518556?origin=resultslist","The disparity between real age and predicted age computed using machine learning/deep learning and magnetic resonance imaging (MRI), known as the brain age gap (BAG), serves as an indicator for predicting neurocognitive disorders. While effective at extracting local features, Convolutional neural networks (CNNs) often struggle to capture global dependencies essential for accurate brain age estimation. In contrast, the Vision Transformer (ViT) model captures global features via self-attention, modeling relationships across the entire image. In this study, a brain age estimation framework is developed using T1-weighted structural MRI data from three publicly available neuroimaging databases. 1,070 healthy control (HC) subjects are used for the age prediction model training and testing. Brain age prediction is performed using deep features extracted directly from whole-brain MRI scans via ViT and ResNet-50, without relying on handcrafted morphometry features. These features are concatenated and input into an l1-regularized random vector functional link (RVFL) regression network, encouraging model sparsity and reducing overfitting by minimizing irrelevant feature contributions. The proposed model achieved state-of-the-art performance, with a mean absolute error (MAE) of 2.34 years and 3.21 years of root mean square error (RMSE). To evaluate BAG as a potential biomarker for assessing brain health, independent testing is conducted on 240 subjects from the ADNI database, including 100 with mild cognitive impairment (MCI), and 140 with Alzheimer's disease (AD). The findings revealed that individuals affected by Alzheimer's exhibit a higher rate of error outcomes, suggesting accelerated brain aging. Additionally, age-related cortical changes such as increased surface variability and right-hemisphere cortical thinning are observed in older individuals compared to younger subjects. © 2025 Elsevier Ltd","Alzheimer's disease; Brain age prediction; Magnetic resonance imaging; Random vector functional link network; Surface-based morphometry; Vision transformer","Brain; Convolutional neural networks; Deep learning; Errors; Functional neuroimaging; Learning systems; Mean square error; Neurodegenerative diseases; Neurophysiology; Regression analysis; Age predictions; Alzheimers disease; Brain age prediction; Functional-link network; Morphometry; Random vector functional link network; Random vectors; Surface-based; Surface-based morphometry; Vision transformer; adult; age determination; aged; Alzheimer disease; anatomical variation; Article; brain; brain cortex; computer vision; controlled study; convolutional neural network; correlation analysis; dimensionality reduction; disease marker; female; frontal lobe; functional link artificial neural network; gray matter; human; image processing; left hemisphere; magnetoencephalography; major clinical study; male; mean absolute error; mild cognitive impairment; multilayer perceptron; neuroimaging; nuclear magnetic resonance imaging; occipital lobe; outcome assessment; partial least squares regression; personalized medicine; precuneus; prediction; predictive model; relevance vector machine; residual neural network; root mean squared error; T1 weighted imaging; three-dimensional imaging; Magnetic resonance imaging","Article","Final","","Scopus","2-s2.0-105010518556"
"Nguyen T.-C.; Phung K.A.; Dao T.T.P.; Nguyen-Mau T.-H.; Nguyen-Quang T.; Pham C.N.; Le T.-N.; Shen J.; Nguyen T.V.; Tran M.-T.","Nguyen, Tan-Cong (57217246052); Phung, Kim Anh (57865354200); Dao, Thao Thi Phuong (57222552314); Nguyen-Mau, Trong-Hieu (57868490300); Nguyen-Quang, Thuc (57218707051); Pham, Cong Nhan (59318544800); Le, Trung-Nghia (58059122200); Shen, Ju (56102587500); Nguyen, Tam V. (24480257100); Tran, Minh-Triet (35176729700)","57217246052; 57865354200; 57222552314; 57868490300; 57218707051; 59318544800; 58059122200; 56102587500; 24480257100; 35176729700","DYNAFormer: Enhancing transformer segmentation with dynamic anchor mask for medical imaging","2025","Computers in Biology and Medicine","197","","110952","","","0","10.1016/j.compbiomed.2025.110952","https://www.scopus.com/pages/publications/105014026915?origin=resultslist","Polyp shape is critical for diagnosing colorectal polyps and assessing cancer risk, yet there is limited data on segmenting pedunculated and sessile polyps. This paper introduces PolypDB_INS, a dataset of 4403 images containing 4918 annotated polyps, specifically for sessile and pedunculated polyps. In addition, we propose DYNAFormer, a novel transformer-based model utilizing an anchor mask-guided mechanism that incorporates cross-attention, dynamic query updates, and query denoising for improved object segmentation. Treating each positional query as an anchor mask dynamically updated through decoder layers enhances perceptual information regarding the object's position, allowing for more precise segmentation of complex structures like polyps. Extensive experiments on the PolypDB_INS dataset using standard evaluation metrics for both instance and semantic segmentation show that DYNAFormer significantly outperforms state-of-the-art methods. Ablation studies confirm the effectiveness of the proposed techniques, highlighting the model's robustness for diagnosing colorectal cancer. The source code and dataset are available at https://github.com/ntcongvn/DYNAFormer https://github.com/ntcongvn/DYNAFormer. © 2025","Dynamic anchor mask; Pedunculated and sessile polyp; Polyp instance segmentation; Universal image segmentation","Algorithms; Colonic Polyps; Colorectal Neoplasms; Databases, Factual; Humans; Image Interpretation, Computer-Assisted; Image Processing, Computer-Assisted; Diagnosis; Diseases; Medical image processing; Query processing; Cancer risk; Colorectal polyps; De-noising; Dynamic anchor mask; Dynamic Query; Images segmentations; Limited data; Pedunculated and sessile polyp; Polyp instance segmentation; Universal image segmentation; Article; colorectal cancer; colorectal polyp; controlled study; convolutional neural network; diagnostic imaging; human; image segmentation; pedunculated polyp; segmentation algorithm; spatial attention; algorithm; colon polyp; colorectal tumor; computer assisted diagnosis; diagnostic imaging; factual database; image processing; procedures; Image segmentation","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105014026915"
"Zhang Z.; Peng Y.; Duan X.","Zhang, Zengmin (58956866700); Peng, Yanjun (7403419463); Duan, Xiaomeng (59240683900)","58956866700; 7403419463; 59240683900","AMOTS: Partially supervised framework for abdominal multi-organ and tumor segmentation via aspect-aware complementary","2025","Artificial Intelligence in Medicine","168","","103224","","","2","10.1016/j.artmed.2025.103224","https://www.scopus.com/pages/publications/105011250520?origin=resultslist","Achieving precise segmentation of the abdominal multi-organ and pan-cancer tumors is crucial for disease diagnosis and treatment planning in clinical fields such as surgery and radiotherapy. However, the diversity of abdominal organs and tumor types, as well as partially labeled datasets, significantly increases the difficulty in training and improving segmentation accuracy. While existing methods attempt to focus on the segmentation of multiple organs and lesions simultaneously, they mainly concentrate on addressing the issue of missing labels but do not simultaneously consider improvements at the network level. Thus, this paper introduces a cascaded framework, AMOTS. First, to enhance the model's feature extraction and analysis capabilities in various extreme scenarios, the framework employs a lightweight convolutional network in the first stage to rapidly localize regions of interest, followed by two structurally identical Aspect-Aware Complementary Networks (AACNet) in the second stage for fine segmentation of organs and tumors, respectively. AACNet includes two novel modules: the Directional Separation Focus Module (DSFM) for multi-directional boundary recognition and the Multi-View Slice Cross Attention Module (MVSCM) for global interaction enhancement. Secondly, ambiguity hard mining and pseudo-label supervision strategies are introduced to tackle the challenge posed by label imbalances. This approach progressively enhances the model's recognition accuracy for unlabeled classes during training. Extensive experiments on large multi-source public datasets (FLARE2023 and MOTS) demonstrate that AMOTS surpasses other methods in segmentation accuracy. Our code is available at www.github.com/zzm3zz/AMOTS. © 2025","Directional separation focus; Hybrid supervision; Multi-View Slice Cross Attention","Abdomen; Abdominal Neoplasms; Algorithms; Humans; Image Processing, Computer-Assisted; Neural Networks, Computer; Tomography, X-Ray Computed; Cascade control systems; Data mining; Diagnosis; Diseases; Image segmentation; Labeled data; Large datasets; Radiotherapy; Cancer tumor; Directional separation; Directional separation focus; Disease treatment; Hybrid supervision; Multi-organ segmentations; Multi-view slice cross attention; Multi-views; Segmentation accuracy; Tumor segmentation; abdomen; abdominal multiorgan and tumor segmentation; abdominal viscera; area under the curve; Article; attention; back propagation; benchmarking; blended learning; conceptual framework; controlled study; feature extraction; health care quality; human; image segmentation; imaging; neoplasm; performance; performance indicator; prediction; quantitative analysis; spatial attention; treatment planning; tumor model; x-ray computed tomography; abdomen; abdominal tumor; algorithm; artificial neural network; diagnostic imaging; image processing; procedures; Tumors","Article","Final","","Scopus","2-s2.0-105011250520"
"Al-Wassiti A.S.; Mutar M.T.; Al Sakini A.S.; Rasheed L.S.; Yosif W.; Abbas M.A.; Raouf N.R.; Al-Shammari A.S.","Al-Wassiti, Ahmed Shakir (60099851400); Mutar, Mohammed Tareq (57211767963); Al Sakini, Ahmed Sermed (58185180700); Rasheed, Luay Salim (59931547800); Yosif, Wissam (58890835400); Abbas, Mohammad Asaad (60195896600); Raouf, Nissar Riad (60195896700); Al-Shammari, Ali Saad (58813599700)","60099851400; 57211767963; 58185180700; 59931547800; 58890835400; 60195896600; 60195896700; 58813599700","Efficient Vision Transformers for Ophthalmic Images Classification: A Comparative Study of Supervised, Semi-Supervised, and Unsupervised Learning Approaches","2025","Journal of Medical Systems","49","1","160","","","1","10.1007/s10916-025-02292-y","https://www.scopus.com/pages/publications/105021978210?origin=resultslist","This study explored the integration of supervised, semi-supervised, and unsupervised learning strategies to classify ophthalmic images under label-scarce conditions. Given the high cost of annotations in medical imaging, the goal was to improve diagnostic performance using minimal labeled data and robust feature representations. A dataset of 18,767 multimodal ophthalmic images was collected — 1,877 labeled and 16,890 unlabeled. Three transformer-based architectures —ViT-Base, DeiT-Base, and MaxViT-L—were used for supervised learning. Semi-supervised learning employed pseudo-labeling with a confidence threshold ≥ 0.98. For unsupervised learning, SimCLR-based contrastive learning and K-means clustering were implemented on extracted features. Performance was evaluated using classification accuracy, AUC, F1-score, clustering indices (Silhouette Score, DBI, CH Index), and computational metrics. In supervised learning, ViT-Base achieved the highest accuracy (92.47%), followed by DeiT-Base (89.38%) and MaxViT-L (85.27%). After pseudo-labeling, MaxViT-L achieved the best accuracy (97.49%) and AUC (0.9982). Contrastive learning significantly improved feature clustering, with MaxViT-L reaching a Silhouette Score of 0.556 and a reduced DBI of 0.541. However, computational analysis revealed that MaxViT-L exhibited the highest computational complexity (81,713 MFLOPs) and longest inference (~ 102 ms), while ViT-Base and DeiT-Base showed considerably lower FLOPs (39,120.6 MFLOPs) and faster inference (~ 52 ms). On external validation set, MaxViT demonstrated the best overall performance. Although ViT-Base achieved the highest accuracy in supervised training, MaxViT-L demonstrated the most favorable trade-off between performance and model generalization in semi- and unsupervised settings, Despite its higher computational complexity and longer inference time, MaxViT-L consistently achieved strong accuracy and clustering performance. This approach minimizes dependence on expert annotations, supporting scalable and automated ophthalmic diagnosis. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Ophthalmic imaging; Ophthalmology; Semi-supervised learning; Unsupervised learning; Vision transformers","Cluster Analysis; Humans; Image Processing, Computer-Assisted; Supervised Machine Learning; Unsupervised Machine Learning; adult; area under the curve; article; classification; commercial phenomena; comparative study; controlled study; diagnosis; diagnostic imaging; human; k means clustering; learning; male; vision; cluster analysis; comparative study; image processing; procedures; supervised machine learning; unsupervised machine learning","Article","Final","","Scopus","2-s2.0-105021978210"
