"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Pakhomov M.A.; Pavlenko E.Y.; Lavrova D.S.","Pakhomov, M.A. (57192982503); Pavlenko, E. Yu. (57188042200); Lavrova, D.S. (56426195200)","57192982503; 57188042200; 56426195200","Architecture of a Software System for Protecting Wireless Ad Hoc Networks from Active Network Attacks","2025","Automatic Control and Computer Sciences","59","8","","1512","1518","0","10.3103/S0146411625701081","https://www.scopus.com/pages/publications/105030937787?origin=resultslist","Abstract: Software solutions for detecting and countering active network attacks on wireless ad hoc networks are analyzed. Requirements for the developed architecture of a software package for protecting wireless ad hoc networks from active network attacks are formulated. An architecture that meets the stated requirements is proposed. A software prototype implementing the proposed solution is developed and evaluated. © Allerton Press, Inc. 2025.","information security; intrusion detection systems; network attack prevention; wireless ad hoc networks","Architecture; Computer crime; Cyber attacks; Intrusion detection; Network intrusion; Network security; Software architecture; Software prototyping; Attack prevention; Intrusion Detection Systems; Network attack; Network attack prevention; Software solution; Software-systems; Wireless ad-hoc networks; Network architecture","Article","Final","","Scopus","2-s2.0-105030937787"
"Wu X.; Ding S.; Zhao N.; Wang H.; Niu B.","Wu, Xiangjun (58696683200); Ding, Shuo (51663191300); Zhao, Ning (57217144560); Wang, Huanqing (48762180200); Niu, Ben (56963507100)","58696683200; 51663191300; 57217144560; 48762180200; 56963507100","Neural-network-based event-triggered adaptive secure fault-tolerant containment control for nonlinear multi-agent systems under denial-of-service attacks","2025","Neural Networks","191","","107725","","","64","10.1016/j.neunet.2025.107725","https://www.scopus.com/pages/publications/105008788211?origin=resultslist","Under the framework of backstepping theory, dealing with the non-differentiable problem of virtual control signals caused by sensor output triggering is difficult. Meanwhile, it is of great practical significance to consider problems of output triggering, multiple faults, and denial-of-service (DoS) attacks in nonlinear multi-agent systems (MASs). This paper studies a neural-network-based event-triggered adaptive secure fault-tolerant containment control problem for nonlinear MASs under multiple faults and DoS attacks. Under sensor output triggering, only intermittent output signals are used to construct a switched neural network estimator to guarantee that estimated states are first-order derivable. Meanwhile, virtual control laws are constructed using estimated states to ensure first-order differentiable, and dynamic filtering technology is adopted to avoid the repeated differentiation of virtual control laws. It is shown that the designed secure fault-tolerant containment controller can compensate for faults and DoS attacks, and each follower can converge to a dynamic convex hull spanned by multiple leaders. Practical simulation results are given to verify the effectiveness of the proposed control method. © 2025 Elsevier Ltd","Containment control; Denial-of-service (DoS) attacks; Event-triggering mechanism; Multiple faults; Neural networks","Algorithms; Computer Security; Computer Simulation; Neural Networks, Computer; Nonlinear Dynamics; Adaptive control systems; Backstepping; Computational geometry; Control theory; Fault tolerance; Fault tolerant computer systems; Filtration; Multi agent systems; Network security; Radiation hardening; Containment control; Denialof- service attacks; Event-triggering mechanism; Events triggering; Fault-tolerant; Multiple faults; Neural-networks; Nonlinear multi-agent systems; Triggering mechanism; Virtual control; Article; artificial neural network; denial of service attack; event triggered adaptive secure fault tolerant; kernel method; mathematical phenomena; nonlinear system; physical parameters; radial basis function neural network; simulation; Switched neural estimator; algorithm; computer security; computer simulation; Neural networks","Article","Final","","Scopus","2-s2.0-105008788211"
"Ni Z.; Cheng H.; Chen J.; Xu Y.; Chen F.; Wang M.","Ni, Zishun (59482158100); Cheng, Hang (56645302500); Chen, Jiaoling (59063104300); Xu, Yongliang (57322744200); Chen, Fei (56587117400); Wang, Meiqing (55561302000)","59482158100; 56645302500; 59063104300; 57322744200; 56587117400; 55561302000","NiNet: A new invertible neural network architecture more suitable for deep image hiding","2025","Information Processing and Management","62","6","104275","","","10","10.1016/j.ipm.2025.104275","https://www.scopus.com/pages/publications/105009597001?origin=resultslist","Image hiding through the application of invertible neural network (INN) represents a significant branch within the realm of deep image hiding methodologies, characterized by a compact network architecture and a streamlined parameter count. Nonetheless, when juxtaposed with autoencoder-based approaches, existing INN methods often result in inferior image quality. To surmount this challenge, this paper introduces a novel masking-based image hiding paradigm, establishes a new spatial domain transformation for images, and refines the Swin-transformer block. By integrating these innovations, an INN architecture is crafted that is particularly adept for deep image hiding, termed NiNet. The experimental results demonstrate that NiNet can remarkably address the problem of image hiding. In terms of steganographic image quality, NiNet outperforms the current state-of-the-art (SOTA) algorithms by 0.26 dB on the DIV2K dataset, 1.49 dB on the COCO dataset, and 0.39 dB on the ImageNet dataset. Regarding the quality of secret image recovery, NiNet surpasses the SOTA algorithms by 2.06 dB on DIV2K, 1.98 dB on COCO, and 0.50 dB on ImageNet. © 2025","Covert communication; Image hiding; Information security; Invertible neural networks; Spatial domain transformation","Arts computing; Computer system recovery; Image quality; Information hiding; Network security; Steganography; Auto encoders; Covert communications; Domain transformation; Image hiding; Invertible neural network; Neural network architecture; Neural-networks; Spatial domain transformation; Spatial domains; State-of-the-art algorithms; Network architecture","Article","Final","","Scopus","2-s2.0-105009597001"
"Abrath B.; Coppens B.; De Sutter B.","Abrath, Bert (57151428600); Coppens, Bart (35174319500); De Sutter, Bjorn (56416241500)","57151428600; 35174319500; 56416241500","MVX-based mitigation of position-independent code reuse","2025","Computers and Security","159","","104655","","","1","10.1016/j.cose.2025.104655","https://www.scopus.com/pages/publications/105016088589?origin=resultslist","In literature, position-independent return-oriented programming (PIROP) attacks have been demonstrated that exploit memory vulnerabilities even when coarse-grained address space layout randomization (ASLR) is deployed and in the complete absence of information disclosure. The demonstrated attacks involved the patching of code pointers present on massaged stacks to create useful ROP chains. To the best of our knowledge, no effective countermeasures have been researched and evaluated to this date. While multi-variant execution (MVX) has been demonstrated in literature to provide strong protection against many classes of code-reuse attacks, the structured forms of diversification used in MVX in the past, such as disjoint code layouts (DCL), fail to mitigate PIROP attacks, for the same reason that ASLR fails to do so. In this paper, we present additional forms of structural diversity that, together with DCL, enable MVX to mitigate patch-based PIROP attacks. We present these extensions to MVX with DCL, and present a qualitative and quantitative security analysis, as well as a performance analysis, revealing that strong mitigation is achieved, at performance costs that vary from negligible to significant but in many scenarios acceptable. The main result is that the number of available, chainable gadgets is reduced to nearly zero, leaving virtually zero opportunities for successful patch-based PIROP attacks. © 2025 Elsevier Ltd","Code reuse; Memory safety; Multi-variant execution; Software security","Computer software reusability; Network security; Address space layout randomizations; Coarse-grained; Code layout; Code reuse; Information disclosure; Memory safety; Multi-variant execution; Patch based; Return-oriented programming; Software security; Codes (symbols)","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105016088589"
"Liu S.; He Q.; Chen Y.; Zhang F.; Liu A.","Liu, Siyuan (57210393816); He, Qian (36172266900); Chen, Yiting (57213552005); Zhang, Fan (57201989930); Liu, Anfeng (59682757700)","57210393816; 36172266900; 57213552005; 57201989930; 59682757700","MRMamba: Multi-Resolution State-Space Modeling for Robust Multisensor Traffic Attack Detection in Wireless Sensor Networks","2025","IEEE Internet of Things Journal","12","24","","53441","53457","1","10.1109/JIOT.2025.3616339","https://www.scopus.com/pages/publications/105017795972?origin=resultslist","Wireless sensor networks (WSNs) face critical security challenges due to their distributed architecture, dynamic topologies, and complexity introduced by multisensor nodes. These factors result in highly variable traffic patterns, making stealthy and long-duration attacks difficult to detect. Recent Mamba-based sequence models have shown promise in capturing long-range dependencies with high efficiency, making them attractive for such scenarios. However, Mamba’s inherent causal modeling limits its ability to fully exploit hierarchical patterns that are crucial for detecting subtle or dispersed attacks. In this work, we propose MRMamba, a multi-resolution state-space architecture that equips Mamba with noncausal and cross-scale modeling capabilities. Specifically, MRMamba introduces a multi-resolution state-space module that performs cross-scale attention fusion. This mechanism dynamically integrates context at multiple temporal resolutions and helps alleviate long-range dependency decay. Furthermore, a dual-branch architecture is constructed around MRMamba to model attacks from complementary perspectives, enabling more accurate and robust detection. Extensive experiments on five real-world public datasets show that MRMamba consistently outperforms existing attack detection methods. It improves the F1 score by up to 4.53% on CIC2023 and 6.6% on IoM2024 over the best of the compared methods. © 2014 IEEE.","Attack detection; MRMamba; multi-resolution; multisensors; wireless sensor network (WSN)","Architecture; Distributed computer systems; Memory architecture; Network security; State space methods; Topology; Attack detection; Long-range dependencies; Mrmamba; Multi sensor; Multi-resolution; Security challenges; Sensors network; State-space; State-space models; Wireless sensor; Network architecture","Article","Final","","Scopus","2-s2.0-105017795972"
"Liu J.; Huang Z.; Tang Z.; Ma T.; Zeng S.; Guo Y.","Liu, Jun (59509244900); Huang, Zengxi (35208210500); Tang, Zehui (58576923900); Ma, Tingsong (57197867477); Zeng, Shengke (24529325100); Guo, Yong (60107131400)","59509244900; 35208210500; 58576923900; 57197867477; 24529325100; 60107131400","Unified face attack detection via multi-modal multi-scale CNN–ViT network: enhancing representation capability","2025","Visual Computer","41","15","","12461","12475","1","10.1007/s00371-025-04166-3","https://www.scopus.com/pages/publications/105016581341?origin=resultslist","Face attack detection plays a vital role in safeguarding face recognition (FR) systems. Due to the unrestricted access to enormous face images and face manipulation tools circulating on the Internet, both physical and digital attacks pose significant threats to the widespread use of FR systems. However, previous works consider the detection of physical attacks and digital attacks as two independent tasks, causing an inferior generalization of attack detection among different categories. In this paper, we propose a unified multi-modal multi-scale hybrid CNN and transformer detection framework, namely UniM2CT, for unified face attack detection. UniM2CT employs a dual-stream network architecture, comprising a spatial branch and a frequency domain branch. The spatial branch utilizes an EfficientNet to extract local CNN features, which are then fed into a proposed multi-scale ViT to capture global inconsistencies at multiple spatial levels. The frequency domain branch, on the other hand, employs a shallow CNN to learn the feature representations at low-, medium-, and high-frequency levels. A multi-modal fusion module is elaborately designed based on local, global, and self-attention mechanisms to integrate the three feature sources, enhancing the model’s ability to learn complementary face deception information. Experimental results demonstrate that UniM2CT outperforms many state-of-the-art methods in unified face attack detection, exhibiting promising anti-attack capabilities. The source code is available at https://github.com/thirteenl/UniM2CT. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.","CNN–ViT; Frequency domain; Multi-modal; Unified face attack detection","Computer crime; Face recognition; Network architecture; Network security; Attack detection; CNN–ViT; Face images; Face recognition systems; Frequency domains; Learn+; Manipulation tools; Multi-modal; Multi-scales; Unified face attack detection; Frequency domain analysis","Article","Final","","Scopus","2-s2.0-105016581341"
"Maghanaki M.; Keramati S.; Chen F.F.; Shahin M.","Maghanaki, Mazdak (58288154500); Keramati, Soraya (60189377300); Chen, F. Frank (57776172200); Shahin, Mohammad (57211047195)","58288154500; 60189377300; 57776172200; 57211047195","Generation of a Multi-Class IoT Malware Dataset for Cybersecurity","2025","Electronics (Switzerland)","14","21","4196","","","9","10.3390/electronics14214196","https://www.scopus.com/pages/publications/105021398825?origin=resultslist","This study introduces a modular, behaviorally curated malware dataset suite consisting of eight independent sets, each specifically designed to represent a single malware class: Trojan, Mirai (botnet), ransomware, rootkit, worm, spyware, keylogger, and virus. In contrast to earlier approaches that aggregate all malware into large, monolithic collections, this work emphasizes the selection of features unique to each malware type. Feature selection was guided by established domain knowledge and detailed behavioral telemetry obtained through sandbox execution and a subsequent report analysis on the AnyRun platform. The datasets were compiled from two primary sources: (i) the AnyRun platform, which hosts more than two million samples and provides controlled, instrumented sandbox execution for malware, and (ii) publicly available GitHub repositories. To ensure data integrity and prevent cross-contamination of behavioral logs, each sample was executed in complete isolation, allowing for the precise capture of both static attributes and dynamic runtime behavior. Feature construction was informed by operational signatures characteristic of each malware category, ensuring that the datasets accurately represent the tactics, techniques, and procedures distinguishing one class from another. This targeted design enabled the identification of subtle but significant behavioral markers that are frequently overlooked in aggregated datasets. Each dataset was balanced to include benign, suspicious, and malicious samples, thereby supporting the training and evaluation of machine learning models while minimizing bias from disproportionate class representation. Across the full suite, 10,000 samples and 171 carefully curated features were included. This constitutes one of the first dataset collections intentionally developed to capture the behavioral diversity of multiple malware categories within the context of Internet of Things (IoT) security, representing a deliberate effort to bridge the gap between generalized malware corpora and class-specific behavioral modeling. © 2025 by the authors.","cybersecurity; Industrial IoT; machine learning; Malware Dataset Generation; malware detection; sandbox","Behavioral research; Botnet; Computer viruses; Computer worms; Cybersecurity; Feature extraction; Internet of things; Network security; Cyber security; Independent set; Industrial internet of thing; Machine-learning; Malware dataset generation; Malware detection; Malwares; Modulars; Sandbox; Trojans; Learning systems","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105021398825"
"Bai Y.; He D.; Yang Z.; Jia X.; Luo M.","Bai, Ye (58684358000); He, Debiao (35603655700); Yang, Zhichao (57214049621); Jia, Xiaoying (57194054206); Luo, Min (36644291700)","58684358000; 35603655700; 57214049621; 57194054206; 36644291700","VSSTPM: Verifiable simulation-secure threshold public key encryption scheme from standard module-LWE for IoT gateway-based applications","2025","Digital Communications and Networks","11","6","","1783","1796","0","10.1016/j.dcan.2025.06.015","https://www.scopus.com/pages/publications/105025095740?origin=resultslist","The Internet of Things (IoT) has become an integral part of daily life, making the protection of user privacy increasingly important. In gateway-based IoT systems, user data is transmitted through gateways to platforms, pushing the data to various applications, widely used in smart cities, industrial IoT, smart farms, healthcare IoT, and other fields. Threshold Public Key Encryption (TPKE) provides a method to distribute private keys for decryption, enabling joint decryption by multiple parties, thus ensuring data security during gateway transmission, platform storage, and application access. However, existing TPKE schemes face several limitations, including vulnerability to quantum attacks, failure to meet Simulation-Security (SS) requirements, lack of verifiability, and inefficiency, which results in gateway-based IoT systems still being not secure and efficient enough. To address these challenges, we propose a V erifiable S imulation- S ecure T hreshold P KE scheme based on standard M odule-LWE (VSSTPM). Our scheme resists quantum attacks, achieves SS, and incorporates Non-Interactive Zero-Knowledge (NIZK) proofs. Implementation and performance evaluations demonstrate that VSSTPM offers 112-bit quantum security and outperforms existing TPKE schemes in terms of efficiency. Compared to the ECC-based TPKE scheme, our scheme reduces the time cost for decryption participants by 72.66%, and the decryption verification of their scheme is 11 times slower than ours. Compared with the latest lattice-based TPKE scheme, our scheme reduces the time overhead by 90% and 48.9% in system user encryption and decryption verification, respectively, and their scheme is 13 times slower than ours in terms of decryption participants. © 2025 Chongqing University of Posts and Telecommunications.","112-Bit quantum security; IoT gateway; NIZK proof; Simulation-security; Standard module-LWE problem; TPKE; Verifiable","Data privacy; Gateways (computer networks); Internet of things; Network security; Public key cryptography; Quantum cryptography; 112-bit quantum security; Integral part; Internet of thing gateway; Non-interactive zero-knowledge proofs; Public-key encryption scheme; Simulation-security; Standard module; Standard module-LWE problem; Threshold public-key encryptions; Verifiable; Digital storage","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105025095740"
"Mishra D.; Rewal P.","Mishra, Dheerendra (57211415687); Rewal, Purva (57456837200)","57211415687; 57456837200","A blockchain-based quantum-secure protocol for efficient V2I handover authentication in vehicular Ad-Hoc networks","2025","Peer-to-Peer Networking and Applications","18","6","304","","","0","10.1007/s12083-025-02142-1","https://www.scopus.com/pages/publications/105019394913?origin=resultslist","Vehicular Ad-Hoc Networks (VANETs) are key to advancing vehicle connectivity, reducing traffic congestion, and improving road safety. The cornerstone of this framework is authentication, which fosters trust among entities, particularly in vehicle-to-vehicle (V2V) and vehicle-to-infrastructure (V2I). Although many handover authentication protocols have been introduced to enhance connections between moving vehicles and roadside units (RSUs), several challenges remain. Moreover, the rise of quantum computing introduces new security threats that current methods may not withstand. To address these challenges, we present a blockchain-enabled quantum-resistant protocol for V2I handover authentication. This is a lightweight, yet resilient solution that enhances communication security in VANETs. By integrating lattice-based cryptography, the protocol provides protection against quantum adversaries, while blockchain technology increases vehicle trust and ensures data integrity. Formal security analysis within the random oracle model confirms the robustness of the protocol against known attacks. Comparative evaluations reveal that our solution achieves a well-balanced trade-off between security and efficiency. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Blockchain; Handover authentication; Intelligent transportation systems; Lattice-based cryptography; Security; Vehicular Ad-Hoc Networks","Authentication; Authentication Protocol; Intelligent systems; Intelligent vehicle highway systems; Internet protocols; Motor transportation; Network security; Quantum communication; Quantum computers; Quantum cryptography; Quantum efficiency; Security systems; Traffic congestion; Vehicle to vehicle communications; Vehicles; Block-chain; Handover authentications; Intelligent transportation systems; Lattice-based cryptography; Road safety; Secure protocols; Security; Vehicle  to infrastructure (V2I); Vehicle to vehicles; Vehicular Adhoc Networks (VANETs); Blockchain; Economic and social effects; Vehicular ad hoc networks","Article","Final","","Scopus","2-s2.0-105019394913"
"Hidalgo-Rodriguez M.; Cruz E.; Pinzon-Acosta C.; Gonzalez-Olivardia F.; Rangel J.C.","Hidalgo-Rodriguez, Miguel (59325858500); Cruz, Edmanuel (57196730404); Pinzon-Acosta, Cesar (57190277215); Gonzalez-Olivardia, Franchesca (59163679100); Rangel, José Carlos (56070937400)","59325858500; 57196730404; 57190277215; 59163679100; 56070937400","MAGI: A Low-Cost IoT Architecture for Distributed AIS-Based Vessel Monitoring and Maritime Emissions Assessment in Panama","2025","Applied System Innovation","8","6","177","","","0","10.3390/asi8060177","https://www.scopus.com/pages/publications/105025897975?origin=resultslist","Real-time vessel tracking and environmental assessment in developing regions face significant challenges due to the high cost and proprietary constraints of commercial Automatic Identification System (AIS) services. We introduce MAGI, an open-source, low-cost, IoT-distributed architecture that integrates Orange Pi 5 edge nodes with software-defined radio (SDR) AIS receivers and containerized microservices to capture, preprocess, and stream AIS messages. During a ten-day field campaign in Panama, our decentralized deployment processed over 500,000 AIS transmissions, achieving 99% uptime and delivering vessel position and speed updates with sub-second latency. Based on the collected data, we also evaluated system scalability, energy consumption, and per node cost, demonstrating that a complete coastal network can be deployed for under USD 1200 per site. These results confirm that MAGI is a scalable, secure, and affordable IoT solution for AIS-based vessel tracking and environmental monitoring in resource-constrained settings. © 2025 by the authors.","AIS; edge computing; emissions estimation; IoT; low-cost embedded systems; Panama; software-defined radio; vessel tracking","Automatic identification; Computer architecture; Cost estimating; Edge computing; Embedded systems; Green computing; Mobile telecommunication systems; Network architecture; Network security; Open source software; Open systems; Radio; Receivers (containers); Signal receivers; Automatic identification system; Edge computing; Embedded-system; Emissions estimation; IoT; Low-cost embedded system; Low-costs; Panamum; Software-defined radios; Vessel tracking; Internet of things","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105025897975"
