"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Boxwell S.; Armfield D.; Cahalane R.M.E.; Hickey W.; Cook S.; Kelly P.; Cardiff P.; McNamara L.M.","Boxwell, Sam (58268370600); Armfield, Dylan (57454108000); Cahalane, Rachel M.E. (57194120986); Hickey, William (60335925500); Cook, Scott (58480973000); Kelly, Patricia (60335785500); Cardiff, Philip (55164687500); McNamara, Laoise M. (55830244900)","58268370600; 57454108000; 57194120986; 60335925500; 58480973000; 60335785500; 55164687500; 55830244900","In silico modeling of transcatheter heart valve oversizing and ellipticity, Part I: Establishing credibility of an advanced model","2026","Computer Methods and Programs in Biomedicine","282","","109404","","","0","10.1016/j.cmpb.2026.109404","https://www.scopus.com/pages/publications/105038034104?origin=resultslist","Background and Objectives Transcatheter aortic valve implantation (TAVI) is the most common modality of treatment for aortic stenosis. However, transcatheter heart valves (THVs) can be prone to early failure and an increase in thrombogenic events, yet the risk factors associated with these failure modes remain poorly understood. Computational modeling may be used to predict biomechanical and hemodynamic indices associated with degeneration and thrombogenicity, however existing models do not fully account for complex stent and leaflet material behavior, and establishing model credibility according to ASME VV-40 is required. Methods In this study, we developed an advanced structural and hemodynamic in silico framework to predict the in vitro performance of a supra-annular, self-expanding THV across a range of clinically-relevant expansion and ellipticity indices. The THV was modelled by incorporating a novel 3-fiber material model for pericardium tissue leaflets and a super-elastic nitinol stent. Results Calculation verification was conducted and, on this basis, we provide recommendations on mesh density, element integration and target time increment. Following verification, we validated our models with radial force, structural high-speed camera and hemodynamic particle image velocimetry testing across multiple THV deployment configurations. In the ‘nominal sizing, circular’ case, we predicted a similar geometric orifice area (4.35 vs 4.02 cm2), pinwheeling index (2.6% vs 2.7%), stent deflection (1.95 vs 1.76 mm) and flow velocity (1.33 vs 1.27 m/s) to in vitro data. Conclusion We validated a novel structural and hemodynamic in silico framework for studying THVs, which will be applied to understand deployment factors contributing to structural degeneration and thrombogenicity. This framework also holds potential for guiding next-generation THV design and predictive procedural modeling. © 2026 The Author(s).","Computational fluid dynamics; Finite element analysis; Transcatheter aortic valve implantation; Transcatheter heart valve; Validation; Verification","Aortic Valve; Aortic Valve Stenosis; Computer Simulation; Heart Valve Prosthesis; Hemodynamics; Humans; Models, Cardiovascular; Prosthesis Design; Stents; Transcatheter Aortic Valve Replacement; Artificial heart; Blood vessels; Heart; Heart valve prostheses; Hemodynamics; High speed cameras; Orifices; Safety engineering; Stents; Velocity measurement; glutaraldehyde; Computational fluid; Finite element analyse; Fluid-dynamics; Haemodynamics; Heart valves; Thrombogenicity; Transcatheter aortic valve implantation; Transcatheter aortic valves; Transcatheter heart valve; Validation; anisotropy; aortic annulus; aortic valve stenosis; Article; collagen fiber; computer model; dispersion; finite element analysis; flow rate; fluid flow; force; heart cycle; heart output; hemodynamics; in vitro study; Massachusetts; particle image velocimetry; pericardium; transcatheter aortic valve implantation; aortic valve; aortic valve stenosis; biological model; computer simulation; heart valve prosthesis; human; prosthesis design; stent; surgery; Computational fluid dynamics; Verification","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105038034104"
"Kamli H.; Shubaili A.; Yousif A.A.; Andarawi M.O.; Salih M.M.; Otifi H.M.; Al-Qahtani S.M.; Khan N.U.","Kamli, Hossam (57210182108); Shubaili, Aisha (60277491500); Yousif, Adil A. (58999256700); Andarawi, Mohamed O. (57208592771); Salih, Magdi M. (21934844600); Otifi, Hassan M. (57208401311); Al-Qahtani, Saleh M. (60016342300); Khan, Najeeb Ullah (57202949128)","57210182108; 60277491500; 58999256700; 57208592771; 21934844600; 57208401311; 60016342300; 57202949128","In-Silico identification and optimization of therapeutic peptides against breast cancer via transcriptomic profiling","2026","Molecular Diversity","30","4","","5473","5493","1","10.1007/s11030-025-11430-0","https://www.scopus.com/pages/publications/105026579666?origin=resultslist","This study integrates transcriptomic, proteomic, and immunoinformatic analyses to identify peptide-based and repurposed drug candidates for Breast cancer therapy. Differential gene expression profiling across four independent datasets (GSE134938, GSE213481, GSE214054, and GSE148657) identified 455 significantly upregulated and 439 downregulated genes out of 6,124, with ANKFY1 (GSE134938) and ATE1 (GSE148657) emerging as robust markers. Functional clustering highlighted consistent upregulation of genes involved in extracellular matrix (ECM) remodeling, tumor invasion, and metabolic reprogramming (COL1A1, FN1, SPP1, MMPs, SCD), alongside downregulation of adhesion and mitochondrial genes, suggesting epithelial–mesenchymal transition (EMT) and metabolic vulnerabilities. Protein–protein interaction network analysis revealed ANKFY1, STARD4/5, and CADM1 as central hubs enriched in lipid metabolism, ECM regulation, and cytoskeletal signaling. Functional enrichment underscored cholesterol transport, steroid biosynthesis, and PPAR/AMPK signaling as key pathways in BC pathogenesis. Proteomic profiling of 21 breast cancer-associated proteins generated 28,732 human-specific peptides, prioritized using a composite scoring system integrating immunogenicity, physicochemical traits, and safety. Top peptides, including SCAMP2, CADM1, and FNBP1, exhibited high MHC binding affinity (IC50 < 30 nM), non-allergenic and non-toxic profiles, and favorable solubility, with motif analysis identifying conserved functional patterns across SCAMP2, CADM1, and FNBP1. Structural modeling and virtual screening validated these proteins as tractable targets, with nilotinib and tucatinib emerging as promising multitarget repurposed drug candidates. At the same time, terfenadine displayed strong binding but cardiotoxic potential. Collectively, these results highlight lipid-driven oncogenesis and ECM remodeling as central to BC biology and provide a translational framework for peptide-based immunotherapy and drug repurposing. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2026.","Breast cancer; Drug repurposing; Peptide therapeutics; Protein–protein interaction; Transcriptomics","Antineoplastic Agents; Breast Neoplasms; Computer Simulation; Female; Gene Expression Profiling; Gene Expression Regulation, Neoplastic; Humans; Peptides; Protein Interaction Maps; Proteomics; Transcriptome; antineoplastic agent; peptide; transcriptome; breast tumor; chemistry; computer simulation; drug effect; drug therapy; female; gene expression profiling; gene expression regulation; genetics; human; metabolism; protein protein interaction; proteomics","Article","Final","","Scopus","2-s2.0-105026579666"
"Juan L.; Yongzhong S.; Huaiping Z.","Juan, Li (59759130900); Yongzhong, Song (7404920721); Huaiping, Zhu (7404664936)","59759130900; 7404920721; 7404664936","Effects of Nutrient Input and Zooplankton Immunity to Phytoplankton-Derived Toxins on Shallow Take Algal Blooms and Dynamics","2026","Bulletin of Mathematical Biology","88","7","110","","","0","10.1007/s11538-026-01662-y","https://www.scopus.com/pages/publications/105041377332?origin=resultslist","Algal blooms in shallow lakes have attracting increasing attention owing to their high frequency and severe ecological harm. Previous studies, which primarily focused on single influencing factors such as nutrient input or toxins released by phytoplankton, have demonstrated that excessive nutrient input can increase the incidence of algal blooms, while high toxin levels exert an inhibitory effect. This study proposes a general analytical framework for exploring zooplankton grazing responses to phytoplankton-derived toxins and nutrient uptake, with a focus on zooplankton immunity to such toxins. A novel nutrient-phytoplankton-zooplankton model is adopted to investigate the combined impacts of nutrient input and phytoplankton-derived toxins on algal blooms, considering zooplankton immunity. We conduct analyses on the existence, stability, and bifurcations of the model to explore its complex dynamic behaviors, including Hopf bifurcation and Bogdanov-Takens bifurcation of codimension 2 and a degenerate case with a nilpotent cusp of codimension at least 3. Specific forms of nutrient uptake and zooplankton grazing functions are employed to validate the relevant theoretical results and perform numerical simulations. Beyond existing findings, this study reveals that oscillation periods tend to lengthen under lower toxin levels or higher nutrient input when oscillations occur. © The Author(s), under exclusive licence to the Society for Mathematical Biology 2026.","Algal bloom; Bifurcation; Dynamics; Nutrient input; Nutrient-phytoplankton-zooplankton; Stability","Animals; Computer Simulation; Eutrophication; Food Chain; Lakes; Marine Toxins; Mathematical Concepts; Models, Biological; Nutrients; Phytoplankton; Zooplankton; marine toxin; animal; biological model; computer simulation; eutrophication; food chain; immunology; lake; mathematical phenomena; metabolism; nutrient; phytoplankton; zooplankton","Article","Final","","Scopus","2-s2.0-105041377332"
"Chen C.","Chen, Chaoran (60342040500)","60342040500","Minimal interaction conditions for the emergence of biological-like organization","2026","BioSystems","266","","105857","","","0","10.1016/j.biosystems.2026.105857","https://www.scopus.com/pages/publications/105042545604?origin=resultslist","This study examines the minimal interaction conditions under which persistent spatial organization can emerge from stochastic local dynamics. Using a four-state cellular automaton as an abstract symbolic interaction field, we introduce a local rule governed by self-maintenance, neighbor-mediated inhibition, and stochastic noise. The model is not intended to represent specific biochemical processes but to explore whether fundamental organizational properties associated with theoretical biology systems can arise from minimal local interactions alone. We quantify emergent behavior using block entropy, spatial autocorrelation, domain size distributions, and a local closure metric measuring agreement between cells and their neighborhood. Systematic exploration of the parameter space reveals three distinct regimes: ordered, disordered, and an intermediate regime characterized by intermediate entropy and enhanced organizational closure. Phase-space mapping shows that this regime occurs at specific ratios of self-maintenance and neighbor interaction strength rather than through monotonic increases in interaction intensity. Temporal analysis further demonstrates the persistence and reproducibility of spatial domains in this regime. These results suggest that organizational closure and structured spatial patterns can arise as statistical consequences of minimal local interactions, without presupposing biochemical detail. The work provides a conceptual framework for investigating the basic principles underlying organization relevant to theoretical biology and highlights how abstract computational systems can be used to study the conditions that favor the emergence of organized structure in biological systems. © 2026 Elsevier B.V.","Biological complexity; Cellular automata; Organizational closure; Self-organizing systems; Spatial biological organization","Computer Simulation; Entropy; Models, Biological; Stochastic Processes; Systems Biology; autocorrelation; cellular automaton; complexity; conceptual framework; entropy; neighborhood; size distribution; article; cellular automaton; conceptual framework; entropy; human; neighborhood; noise; reproducibility; spatial analysis; symbolic interactionism; temporal analysis; biological model; computer simulation; procedures; stochastic model; systems biology","Article","Final","","Scopus","2-s2.0-105042545604"
"Zhang Y.; Guo D.; Huang X.; He C.","Zhang, Yongde (55740036900); Guo, Dong (59323802200); Huang, Xuequan (59747733300); He, Chuang (56525802000)","55740036900; 59323802200; 59747733300; 56525802000","Compliance Control of a Robotic Breast Ultrasound System Based on Variable Admittance Control","2026","International Journal of Medical Robotics and Computer Assisted Surgery","22","4","e70194","","","0","10.1002/rcs.70194","https://www.scopus.com/pages/publications/105043846647?origin=resultslist","Introduction: In a robotic breast ultrasound (US) system (RBUS), ensuring patient safety, comfort, and high compliance is critical. Method: To improve low system compliance, this study proposes a Variable Admittance Control based on the Critical Damping Ratio (VAC-CDR). This algorithm enhances force control accuracy and compliance by adaptively adjusting damping and stiffness coefficients. Furthermore, a Breast Surface Adaptive Control Strategy (BrS-ACS) is introduced. This strategy adjusts the alignment of the probe with the normal of the breast surface. Meanwhile, the influence of admittance parameters on compliance is experimentally analysed, with an error band used for evaluation. Results: The simulation and experimental validation demonstrate that the VAC-CDR algorithm achieves excellent compliance, robustness, and a force control precision of 0.4 N, while the BrS-ACS ensures accurate and reliable scanning of the US probe. Conclusion: This study contributes to the advancement of automated US image scanning. © 2026 John Wiley & Sons Ltd.","","Algorithms; Breast; Computer Simulation; Equipment Design; Female; Humans; Phantoms, Imaging; Reproducibility of Results; Robotic Surgical Procedures; Robotics; Ultrasonography, Mammary; Adaptive control systems; Electric admittance; Force control; Probes; Ultrasonics; Adaptive control strategy; Admittance control; Breast ultrasound; Control accuracy; Critical damping; Damping ratio; High compliances; Patient safety; Safety compliances; Ultrasound system; accuracy; algorithm; Article; automation; clinical evaluation; control strategy; controlled study; echomammography; human; patient compliance; reliability; rigidity; simulation; breast; computer simulation; devices; diagnostic imaging; equipment design; female; imaging phantom; procedures; reproducibility; robot assisted surgery; robotics; Compliance control","Article","Final","","Scopus","2-s2.0-105043846647"
"Kim Y.K.; Kameo Y.; Tanaka S.; Adachi T.","Kim, Young Kwan (57194279648); Kameo, Yoshitaka (23469758600); Tanaka, Sakae (55555616600); Adachi, Taiji (55479376800)","57194279648; 23469758600; 55555616600; 55479376800","In silico exploration of osteoclast precursor inhibition for preventing rapid bone loss after denosumab discontinuation","2026","npj Systems Biology and Applications","12","1","40","","","0","10.1038/s41540-026-00668-5","https://www.scopus.com/pages/publications/105034695619?origin=resultslist","Denosumab is a potent anti-resorptive drug for osteoporosis treatment that increases bone mass and reduces fracture risk. However, its discontinuation causes a rebound phenomenon where bone is rapidly lost by activated resorption, possibly because of the accumulation of osteoclast precursors. Here, we propose a therapeutic strategy wherein osteoclast precursor apoptosis is induced to prevent the rebound. To investigate the efficacy of this undeveloped osteoclast precursor inhibitor (OCPI), we performed in silico experiments with denosumab treatment followed by OCPI or alendronate. The accumulated osteoclast precursors caused excessive osteoclast activity after denosumab discontinuation. Switching to OCPI inhibited bone cell activity in an osteoclast-dominant manner without direct effects on osteoblasts, as opposed to alendronate. The combination of OCPI and denosumab prevented the rebound and preserved modelling-based formation induced by denosumab. Our in silico approach provides proof of a proposed drug concept before development, thereby accelerating the development of new treatment for human diseases. © The Author(s) 2026.","","Alendronate; Animals; Apoptosis; Bone Density Conservation Agents; Bone Resorption; Computer Simulation; Denosumab; Humans; Osteoblasts; Osteoclasts; Osteoporosis; alendronic acid; bone density conservation agent; denosumab; animal; apoptosis; computer simulation; cytology; drug effect; drug therapy; human; metabolism; osteoblast; osteoclast; osteolysis; osteoporosis; prevention and control","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105034695619"
"Tang J.; Pang J.; Geng L.; Fu J.; Xu T.","Tang, Jianxin (55713944700); Pang, Juan (59926563900); Geng, Lele (59926293800); Fu, Jiaqiang (59711169300); Xu, Tianpeng (57471577600)","55713944700; 59926563900; 59926293800; 59711169300; 57471577600","Orchestrating the differential evolution via fitness landscape state for the influence maximization problem in social networks","2026","Neurocomputing","698","","134261","","","0","10.1016/j.neucom.2026.134261","https://www.scopus.com/pages/publications/105041917629?origin=resultslist","Maximizing the information cascades in social networks hinges on identifying optimal seed nodes within the high-dimensional solution spaces. However, such spaces are riddled with numerous local optima that can readily trap the search process in suboptimal regions. Existing meta-heuristics enable global search without gradient information but lack guidance due to their inability to exploit the structures of the network space. Such limitations underscore the necessity for new perspectives to analyze solution distribution to uncover population search behaviors and orchestrate the search processes. To address such challenges, a Landscape-Aware Differential Evolution optimization (LADE) is proposed in this paper to dynamically model the fitness landscape states to quantify basin entrapment and guide the search behaviors. Specifically, a strategy combining diameter-stratified Latin hypercube sampling with degree perturbation is conceived to generate an initial solution set with uniform coverage and promising individuals. Based on the population distribution during the evolution processes, the fitness landscape is constructed through the introduction of a landscape state value that identifies four evolutionary states including convergence, exploration, exploitation, and escape to characterize the coupling between search behaviors and local landscape structures. Finally, the detected state schedules a corresponding landscape-driven operator to guide the population away from local optima toward promising regions. Experimental results on nine real-world networks show that LADE achieves an average relative improvement of 8.11% in influence spread over seven baselines excluding CELF: LIDDE, DHHO, LDD, PHEE, BiGDN, MSPSO, and DSMO. This average is calculated across all nine networks under the tested seed sizes (k=10,20,…,100). These results demonstrate the effectiveness of LADE on structurally diverse networks. © 2026 Elsevier B.V.","Differential evolution; Evolutionary state; Fitness landscape; Influence maximization; Meta-heuristic optimization; Social networks","Evolutionary algorithms; Optimization; Differential Evolution; Differential evolution optimizations; Evolutionary state; Fitness landscape; Influence maximizations; Local optima; Metaheuristic optimization; Search behavior; Search process; Social network; Article; artificial neural network; benchmarking; computer heuristics; computer simulation; controlled study; decision making; deep learning; differential evolution algorithm; graph neural network; information dissemination; information processing; landscape aware differential evolution optimization; mathematical computing; mathematical model; mathematical parameters; network analysis; social network; Population distribution","Article","Final","","Scopus","2-s2.0-105041917629"
"Wang N.; Zheng S.; Chen Y.; Zhao H.; Fang Z.","Wang, Nianyi (57222463172); Zheng, Shuai (55971859300); Chen, Yu (59073591900); Zhao, Hai (60362200600); Fang, Zhou (60362296800)","57222463172; 55971859300; 59073591900; 60362200600; 60362296800","FluidFormer : Transformer with continuous convolution for particle-based fluid simulation","2026","Neural Networks","198","","108631","","","2","10.1016/j.neunet.2026.108631","https://www.scopus.com/pages/publications/105028981718?origin=resultslist","Learning-based fluid simulation has emerged as an efficient alternative to traditional Navier-Stokes solvers. However, existing neural methods that build upon Smoothed Particle Hydrodynamics (SPH) predominantly rely on local particle interactions, which induces instability in complex scenarios due to error accumulation. To address this, we introduce FluidFormer, a novel architecture that establishes a hierarchical local-global modeling paradigm. The core of our model is the Fluid Attention Block (FAB), a co-design that orchestrates continuous convolution for locality with self-attention for global corrective long-range hydrodynamic phenomena. Embedded in a dual-pipeline network, our approach seamlessly fuses inductive physical biases with structured global reasoning. Extensive experiments show that FluidFormer achieves state-of-the-art performance, with significantly improved stability and generalization in challenging fluid scenes, demonstrating its potential as a robust simulator for complex physical systems. © 2026 Elsevier Ltd","Attention mechanism; Fluid simulation; Local-global feature fusion; Smoothed particle hydrodynamics; Transformer","Computer Simulation; Hydrodynamics; Neural Networks, Computer; Complex networks; Convolution; Embedded systems; Navier Stokes equations; Attention mechanisms; Error accumulation; Features fusions; Fluid simulations; Global feature; Local-global feature fusion; Navier-Stokes solver; Novel architecture; Smoothed particle hydrodynamics; Transformer; accuracy; Article; dynamics; embedding; graph neural network; hydrodynamics; learning; particle based fluid simulation; rotary position embedding; simulation; smoothed particle hydrodynamics; spatial accuracy; temporal dynamics; artificial neural network; computer simulation; hydrodynamics; Hydrodynamics","Article","Final","","Scopus","2-s2.0-105028981718"
"Wang C.; Gong Z.; Deng Q.","Wang, Chunhua (16479890900); Gong, Zhibo (60557534400); Deng, Quanli (57210999743)","16479890900; 60557534400; 57210999743","Discrete bidirectional memristive neural network-based hyperchaotic system and its FPGA implementation","2026","Neural Networks","201","","108887","","","6","10.1016/j.neunet.2026.108887","https://www.scopus.com/pages/publications/105034739880?origin=resultslist","Memristors, owing to their unique non-volatile and nonlinear characteristics, have been widely used to construct biomimetic neural network models. In recent years, discrete-time memristive neural networks (DMNN) have demonstrated significant research value and application potential in the field of chaotic dynamics. However, in existing designs on DMNN-based chaotic systems, there are no relevant reports on the use of novel neural network models with bidirectional feedback structures. In this paper, we propose a hyperchaotic system based on a discrete bidirectional memristive neural network (DBMNN) and implement it on an FPGA platform. A discrete locally active memristor is embedded into the feedback path of a discrete bidirectional neural network (DBNN), forming a six-dimensional DBMNN. The dynamical behavior of DBMNN is theoretically and experimentally studied using various dynamical analysis methods, including equilibrium point analysis, phase diagrams, Lyapunov exponent analysis, bifurcation diagrams, and bi-parameter dynamic maps. The results show that the system exhibits complex chaotic characteristics, including hyperchaos with four positive Lyapunov exponents, heterogeneous coexisting attractors, transient chaos, and chaotic attractor jumping. A large range of amplitude control phenomena is also found. Finally, the circuit design of DBMNN is implemented on a field-programmable gate array (FPGA), and the experimental results are consistent with the numerical simulations, verifying the dynamics of the proposed hyperchaotic system. © 2026 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Discrete bidirectional neural network; Discrete locally active memristor; Dynamical behaviour; FPGA implementation; Hyperchaotic","Algorithms; Computer Simulation; Feedback; Neural Networks, Computer; Nonlinear Dynamics; Soft Computing; Behavioral research; Biomimetics; Chaotic systems; Differential equations; Dynamics; Feedback; Integrated circuit design; Lyapunov functions; Lyapunov methods; Memristors; Neural networks; Phase diagrams; Bidirectional neural networks; Discrete bidirectional neural network; Discrete locally active memristor; Dynamical behaviors; Field-programmable gate array implementations; Hyper-chaotic systems; Hyperchaotic; Memristor; Network-based; Neural-networks; article; artificial neural network; chaotic dynamics; controlled study; data mining; feedback system; human; jumping; memristive neural network; memristor; nerve cell network; simulation; algorithm; artificial neural network; computer simulation; nonlinear system; soft computing; Field programmable gate arrays (FPGA)","Article","Final","","Scopus","2-s2.0-105034739880"
"Makhanya K.M.; Bhamjee M.; Martinson N.; Connell S.","Makhanya, Khanyisani Mhlangano (59978360700); Bhamjee, Muaaz (55247084100); Martinson, Neil (13907655800); Connell, Simon (14047873900)","59978360700; 55247084100; 13907655800; 14047873900","Assessment and characterization of the impact of pulmonary pathology on flow-induced acoustics using computational fluid dynamics","2026","Biomedical Signal Processing and Control","120","","110018","","","0","10.1016/j.bspc.2026.110018","https://www.scopus.com/pages/publications/105032366806?origin=resultslist","Respiratory illness is one of the major contributors to disease and disability worldwide. Assessing these conditions typically involves in-person evaluations at primary care or hospitals, which can be difficult to access in under-resourced areas, or during pandemics. This study explores a novel approach to assess pulmonary disease by analysing changes in cough acoustics. We posit that vocalization may provide insights into an underlying lung pathology. Utilizing computational fluid dynamics, this study investigates flow-induced changes to vocalization, cough, and lung-generated acoustics for diagnosing pulmonary pathology. We use pneumonia, bronchiectasis, and cavitary tuberculosis as exemplars. A computational fluid dynamics model was developed to simulate the acoustic properties of both healthy and diseased lungs, and validated using data from 22 vocal recordings of infected patients with distinct clinical diagnoses. The study employed two computational fluid dynamics methods: Large Eddy Simulation (LES) with the Ffowcs Williams and Hawkings model and the Realizable k−ϵ model with the Broadband Noise Source Model. Our models suggest differences in sound pressure levels across a frequency range of 0 kHz to 16 kHz, with healthy lungs exhibiting higher sound pressure levels compared to those affected by the other conditions. Comparative analysis between actual cough recordings and our model predictions indicate qualitative correlations, suggesting that our model could enhance the understanding of flow-induced acoustics in various lung pathologies. The results suggest potential for developing synthetic datasets to train artificial intelligence models aimed at telemedicine-based diagnosis, thereby improving access to initial respiratory assessments and triage. © 2026 The Authors","Aero-acoustics; CFD; Computational fluid dynamics; Exhalation; Fluid-flow; Pulmonary disease; Sound pressure level; Vocalization","Acoustic noise; Acoustic properties; Acoustic variables measurement; Acoustic wave transmission; Acoustics; Biological organs; Diagnosis; Lung cancer; Pathology; Aero-acoustics; Computational fluid; Condition; Exhalation; Flow induced; Fluid-dynamics; Fluid-flow; Lung pathology; Sound pressures level; Vocalization; acoustics; Article; bronchiectasis; computational fluid dynamics; computer prediction; computer simulation; controlled study; coughing; flow rate; fluid flow; human; lung tuberculosis; pneumonia; qualitative analysis; sound pressure; vocalization; Computational fluid dynamics; Pulmonary diseases","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105032366806"
