"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Šoberl D.; Kalin J.; Anžlin A.; Kreslin M.; Čopič Pucihar K.; Kljun M.; Hekič D.; Žnidarič A.","Šoberl, Domen (55826412400); Kalin, Jan (55217935900); Anžlin, Andrej (56674538800); Kreslin, Maja (34872596700); Čopič Pucihar, Klen (42762031000); Kljun, Matjaž (14019698800); Hekič, Doron (57303841100); Žnidarič, Aleš (6506050864)","55826412400; 55217935900; 56674538800; 34872596700; 42762031000; 14019698800; 57303841100; 6506050864","Enhanced precision in axle configuration inference for bridge weigh-in-motion systems using computer vision and deep learning","2025","Computer-Aided Civil and Infrastructure Engineering","40","30","","6201","6216","0","10.1111/mice.70144","https://www.scopus.com/pages/publications/105021876434?origin=resultslist","Heavy goods vehicles (HGVs) have a significant impact on road and bridge infrastructure, with overloaded vehicles accelerating structural deterioration and increasing safety risks. Bridge weigh-in-motion (B-WIM) systems estimate gross vehicle weight (GVW) using strain measurements, but inaccuracies in axle configuration recognition can reduce reliability. This study presents a low-cost computer vision (CV) extension for existing B-WIM installations that verifies strain-inferred axle configurations using traffic camera images and flags GVW estimates as reliable or unreliable. Experiments on a data set of over 30,000 HGV records show that by combining convolutional neural networks with strain-based heuristics, GVW reliability can improve from 96.7% to 99.89%, effectively excluding nearly all erroneous measurements. The approach operates without interrupting ongoing B-WIM operations and can be applied retrospectively to historical data. Limitations include the inability to detect raised axles (RAs), which the method excludes as unreliable. This method provides a practical, high-precision enhancement for structural health monitoring of bridges. © 2025 The Author(s). Computer-Aided Civil and Infrastructure Engineering published by Wiley Periodicals LLC on behalf of Editor.","","Axles; Bridges; Computer vision; Convolutional neural networks; Costs; Deep learning; Strain measurement; Structural health monitoring; Vehicles; Axle configurations; Bridge infrastructure; Gross vehicle weight; Heavy goods vehicles; Overloaded vehicles; Road infrastructures; Roads and bridges; Safety risks; Structural deterioration; Weigh-in-motion systems; bridge; computer vision; machine learning; precision; strain measurement; transport vehicle; Deterioration","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105021876434"
"Yang H.; Wang P.; Wang Y.; Billinghurst M.; Luo R.; Zhang Y.","Yang, Huan (59154650500); Wang, Peng (57205365393); Wang, Yue (57200056860); Billinghurst, Mark (7006142663); Luo, Rong (58955625700); Zhang, Yi (55912101500)","59154650500; 57205365393; 57200056860; 7006142663; 58955625700; 55912101500","Product assembly quality inspection of gap spacing using machine vision and human-centered AR visualization","2025","Computers and Industrial Engineering","210","","111531","","","4","10.1016/j.cie.2025.111531","https://www.scopus.com/pages/publications/105016459809?origin=resultslist","During industrial inspection activities, it is crucial for users to provide quick feedback, accurate inspection results, and human-centered intuitive visualization. To improve performance and increase the reliability of the system, this work proposed a SAR- and machine Vision-assisted- Inspection (SARMVI) approach using the advantage of projector-based AR and deep learning-based line detection. In particular, the examination of gap spacing applies the line detection algorithm of Mobile Line Segment Detection (MLSD). Thus, the assessment outcomes can be robustly and efficiently visualized through the virtual-real fusion. We compared the traditional method of using a Feeler Gauge-assisted Inspection (FGI), screen-based method (SMVI), and SARMVI according to the different interactive interfaces, through a case study. Experimental results showed that the SARMVI method for the quality inspection activities on gap spacing can improve the performance, precision, and visual perception experience, compared with SMVI. The preliminary results reveal that the SMVI and SARMVI inspection methods are effective and promising for industrial inspection applications. Finally, our approach has advantages but also limitations in product gap detection, such as the planar surface requirement for inspection, manual light adjustment needed across environments in the study. © 2025 Elsevier Ltd","Augmented reality; Human-computer interaction; Machine vision; Mobile line segment detection (MLSD); Quality inspection","Computer vision; Deep learning; Human computer interaction; Inspection; Machine vision; Virtual reality; Visualization; Computer interaction; Gap spacing; Industrial inspections; Inspection activities; Inspection methods; Line segment detection; Machine-vision; Mobile line segment detection; Quality inspection; Vision-assisted; Augmented reality","Article","Final","","Scopus","2-s2.0-105016459809"
"Yan R.; Zhou D.; Wan Y.","Yan, Ran (60055677600); Zhou, Dongming (57195231085); Wan, Yulong (59196574300)","60055677600; 57195231085; 59196574300","A Multi-Scale Structure with Improved Reverse Attention for Polyp Segmentation","2025","Mathematics","13","23","3794","","","0","10.3390/math13233794","https://www.scopus.com/pages/publications/105024603553?origin=resultslist","Colorectal cancer (CRC) is the second most common global malignancy with high mortality, and timely early polyp detection is critical to halt its progression. Yet, polyp image segmentation—an essential tool—faces challenges: blurred edges, small sizes, and artifacts from intestinal folds, bubbles, and mucus. To address these, we proposed a novel segmentation model with multi-scale feature extraction. Its encoder uses Multiscale Attention-based Pyramid Vision Transformer v2 (PVTv2) for hierarchical features (lower-stage modules expand receptive field), while the decoder adopts a Parallel Multi-level Aggregation structure, plus multi-branch and improved reverse attention modules. Ablation experiments validated key modules. Compared to nine state-of-the-art networks across five benchmarks, the model showed superiority: optimal mDice/mIoU on polyp datasets, 0.2% higher mDice than MEGANet on Kvasir-SEG, and outperformance over UHA-Net and CSCA-U-Net on CVC-ClinicDB. © 2025 by the authors.","colonoscopy; computer vision; multi-scale feature; polyp segmentation; pyramid vision transformer","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024603553"
"Wördehoff N.; Egger A.; Kratsch W.; König F.; Röglinger M.","Wördehoff, Niklas (59013233400); Egger, Andreas (57220589071); Kratsch, Wolfgang (57193493370); König, Fabian (57680232900); Röglinger, Maximilian (15923698200)","59013233400; 57220589071; 57193493370; 57680232900; 15923698200","Beyond assumptions: A reference architecture to enable unsupervised process discovery from video data","2025","Decision Support Systems","199","","114544","","","2","10.1016/j.dss.2025.114544","https://www.scopus.com/pages/publications/105018168405?origin=resultslist","Process mining has developed into one of the most important research streams in business process management. Despite its successful application to improve process performance in industry, there is still substantial potential to be realized in the coming years. One of them is the use of unstructured video data to enable the analysis of previously unobservable parts of processes. Existing approaches derive event logs from video data by extracting a predefined set of potentially relevant activities. As this set is typically determined using a process model or input from process experts, rather than the available video data, current solutions are unable to identify activities that extend beyond the presumed process behavior, limiting transparency in process analysis. Therefore, this study aims to develop a solution that enables the extraction of actual process behavior from video data, as opposed to assumed process activities. Following a design science research methodology, we developed and evaluated the Reference Architecture for Video Event Extraction (RAVEE), which enables the identification of individual process steps in an unsupervised manner. We performed several evaluation activities to ensure the completeness and applicability of the RAVEE. A prototypical instantiation of the RAVEE further demonstrates its ability to extract process-relevant events from video data on two real-world datasets. © 2025 The Authors","Computer vision; Process mining; Reference architecture; Unstructured data; Unsupervised learning; Video data","Administrative data processing; Architecture; Computer architecture; Enterprise resource management; Extraction; Unsupervised learning; Video analysis; Video recording; Video signal processing; Business Process; Events extractions; Process behavior; Process Discovery; Process management; Process mining; Reference architecture; Unstructured data; Video data; Video events; Computer vision","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105018168405"
"Olmos-Severiche C.; Valdés-Quintero J.; Díaz-Paz J.P.; Mateus S.P.; Garcia-Henao A.F.; Cossio-Madrid O.E.; Botero B.A.; Parra J.C.","Olmos-Severiche, César (58879390700); Valdés-Quintero, Juan (58880346100); Díaz-Paz, Jean Pierre (57217181133); Mateus, Sandra P. (25522291400); Garcia-Henao, Andres Felipe (60239874700); Cossio-Madrid, Oscar E. (60239922300); Botero, Blanca A. (15724474400); Parra, Juan C. (57214122388)","58879390700; 58880346100; 57217181133; 25522291400; 60239874700; 60239922300; 15724474400; 57214122388","A Methodology to Detect Changes in Water Bodies by Using Radar and Optical Fusion of Images: A Case Study of the Antioquia near East in Colombia","2025","Applied Sciences (Switzerland)","15","23","12559","","","0","10.3390/app152312559","https://www.scopus.com/pages/publications/105024887286?origin=resultslist","This study presents a novel methodology for the detection and monitoring of changes in surface water bodies, with a particular emphasis on the near-eastern region of Antioquia, Colombia. The proposed approach integrates remote sensing and artificial intelligence techniques through the fusion of multi-source imagery, specifically Synthetic Aperture Radar (SAR) and optical data. The framework is structured in several stages. First, radar imagery is pre-processed using an autoencoder-based despeckling model, which leverages deep learning to reduce noise while preserving structural information critical for environmental monitoring. Concurrently, optical imagery is processed through the computation of normalized spectral indices, including NDVI, NDWI, and NDBI, capturing essential characteristics related to vegetation, water presence, and surrounding built-up areas. These complementary sources are subsequently fused into synthetic RGB composite representations, ensuring spatial and spectral consistency between radar and optical domains. To operationalize this methodology, a standardized and reproducible workflow was implemented for automated image acquisition, preprocessing, fusion, and segmentation. The Segment Anything Model (SAM) was integrated into the process to generate semantically interpretable classes, enabling more precise delineation of hydrological features, flood-prone areas, and urban expansion near waterways. This automated system was embedded in a software prototype, allowing local users to manage large volumes of satellite data efficiently and consistently. The results demonstrate that the combination of SAR and optical datasets provides a robust solution for monitoring dynamic hydrological environments, particularly in tropical mountainous regions with persistent cloud cover. The fused products enhanced the detection of small streams and complex hydrological patterns that are typically challenging to monitor using optical imagery alone. By integrating these technical advancements, the methodology supports improved environmental monitoring and provides actionable insights for decision-makers. At the local scale, municipal governments can use these outputs for urban planning and flood risk mitigation; at the regional level, environmental and territorial authorities can strengthen water resource management and conservation strategies; and at the national level, risk management institutions can incorporate this information into early warning systems and disaster preparedness programs. Overall, this research delivers a scalable and automated tool for surface water monitoring, bridging the gap between scientific innovation and operational decision-making to support sustainable watershed management under increasing pressures from climate change and urbanization. © 2025 by the authors.","AI, water resources management; computer vision; image fusion; Normalized Difference Vegetation Index; Normalized Difference Water Index; remote sensing; speckle; Synthetic Aperture Radar (SAR)","Decision making; Disaster prevention; Disasters; Environmental management; Flood control; Floods; Image acquisition; Image enhancement; Image segmentation; Optical data processing; Radar imaging; Risk management; Software prototyping; Space-based radar; Surface waters; Synthetic aperture radar; Tracking radar; Urban planning; Water conservation; AI, water resource management; Colombia; Environmental Monitoring; Normalized difference vegetation index; Normalized difference water index; Optical imagery; Optical-; Remote-sensing; Synthetic aperture radar; Water resources management; Computer vision; Image fusion; Remote sensing","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024887286"
"Zhao S.; Zhou S.; Zhang Y.; Zhang J.; Wang C.; Wang W.; Scherer S.","Zhao, Shibo (57203967683); Zhou, Sifan (57212646412); Zhang, Yuchen (59985117600); Zhang, Ji (55556870700); Wang, Chen (57209930014); Wang, Wenshan (57215073713); Scherer, Sebastian (15846506300)","57203967683; 57212646412; 59985117600; 55556870700; 57209930014; 57215073713; 15846506300","Resilient odometry via hierarchical adaptation","2025","Science Robotics","10","109","eadv1818","","","5","10.1126/scirobotics.adv1818","https://www.scopus.com/pages/publications/105024641838?origin=resultslist","Resilient and robust odometry is crucial for autonomous systems operating in complex and dynamic environments. Existing odometry systems often struggle with severe sensory degradations and extreme conditions such as smoke, sandstorms, snow, or low-light conditions, threatening both the safety and functionality of robots. To address these challenges, we present Super Odometry, a sensor fusion framework that dynamically adapts to varying levels of environmental degradation. Super Odometry uses a hierarchical structure to integrate four core modules from lower-level to higher-level adaptability, including adaptive feature selection, adaptive state direction selection, adaptive engine selection, and a learning-based inertial odometry. The inertial odometry, trained on more than 100 hours of heterogeneous robotic platforms, captures comprehensive motion dynamics. Super Odometry elevates the inertial measurement unit to equal importance with camera and light detection and ranging (LiDAR) systems in the sensor fusion framework, providing a reliable fallback when exteroceptive sensors fail. Super Odometry has been validated across 200 kilometers and 800 operational hours on a fleet of aerial, wheeled, and legged robots and under diverse sensor configurations, environmental degradation, and aggressive motion profiles. It marks an important step toward safe and long-term robotic autonomy in all-degraded environments. © 2025 The Authors, some rights reserved.","","Computer vision; Degradation; Dynamics; Robots; Vision; Adaptive feature selection; Complex environments; Degradation condition; Dynamic environments; Extreme conditions; Four-core; Hierarchical structures; Low light conditions; Odometry; Sensor fusion; adaptation; article; camera; controlled study; degradation; diagnosis; dust storm; feature selection; human; inertial sensor; learning; motion; sensor; smoke; snow; Antennas","Article","Final","","Scopus","2-s2.0-105024641838"
"Mena F.; Ienco D.; Dantas C.F.; Interdonato R.; Dengel A.","Mena, Francisco (57210598109); Ienco, Dino (25027558600); Dantas, Càssio F. (57194049789); Interdonato, Roberto (55926436900); Dengel, Andreas (6603764314)","57210598109; 25027558600; 57194049789; 55926436900; 6603764314","Multi-modal co-learning for Earth observation: enhancing single-modality models via modality collaboration","2025","Machine Learning","114","12","279","","","5","10.1007/s10994-025-06903-0","https://www.scopus.com/pages/publications/105022237238?origin=resultslist","Multi-modal co-learning is emerging as an effective paradigm in machine learning, enabling models to collaboratively learn from different modalities to enhance single-modality predictions. Earth Observation (EO) represents a quintessential domain for multi-modal data analysis, wherein diverse remote sensors collect data to sense our planet. This unprecedented volume of data introduces novel challenges. Specifically, the access to the same sensor modalities at both training and inference stages becomes increasingly complex based on real-world constraints affecting remote sensing platforms. In this context, multi-modal co-learning presents a promising strategy to leverage the vast amount of sensor-derived data available at the training stage to improve single-modality models for inference-time deployment. Most current research efforts focus on designing customized solutions for either particular downstream tasks or specific modalities available at the inference stage. To address this, we propose a novel multi-modal co-learning framework capable of generalizing across various tasks without targeting a specific modality for inference. Our approach combines contrastive and modality discriminative learning together to guide single-modality models to structure the internal model manifold into modality-shared and modality-specific information. We evaluate our framework on four EO benchmarks spanning classification and regression tasks across different sensor modalities, where only one of the modalities available during training is accessible at inference time. Our results demonstrate consistent predictive improvements over state-of-the-art approaches from the recent machine learning and computer vision literature, as well as EO-specific methods. The obtained findings validate our framework in the single-modality inference scenarios across a diverse range of EO applications. © The Author(s), under exclusive licence to Springer Science+Business Media LLC, part of Springer Nature 2025.","Co-learning; Earth observation; Multi-loss; Multi-modal data; Representation learning; Sensor data","Arts computing; Computer vision; Contrastive Learning; Earth (planet); Learning systems; Machine learning; Modal analysis; Co-learning; Earth observations; Inference stages; Machine-learning; Multi-loss; Multi-modal; Multi-modal data; Representation learning; Sensor modality; Sensors data; Remote sensing","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105022237238"
"Han Y.; Yan X.; Li Y.; Li D.; Liu X.; Huang H.; Bie D.","Han, Yanan (57220549187); Yan, Xufei (57195239534); Li, Yuan (60254533100); Li, Danyang (59608396800); Liu, Xiaochao (57188729168); Huang, Haishan (60254621100); Bie, Dawei (57203193343)","57220549187; 57195239534; 60254533100; 59608396800; 57188729168; 60254621100; 57203193343","A Lightweight Feature Enhancement Model for UAV Detection in Real-World Scenarios","2025","Drones","9","12","874","","","1","10.3390/drones9120874","https://www.scopus.com/pages/publications/105025754163?origin=resultslist","Highlights: What are the main findings? We release RWSD, a large-scale UAV detection dataset of 14,592 real-world images covering diverse backgrounds, UAV sizes, and viewpoints to benchmark robust detectors. We present a lightweight feature enhancement model (LFEM) tailored for UAV detection, and extensive experimental results demonstrate the effectiveness and efficiency of our approach. What is the implication of the main finding? RWSD provides the community with a challenging, openly available benchmark for evaluating UAV detectors under realistic, complex conditions. LFEM offers an accurate yet compact solution with the potential to be deployed on edge or mobile platforms for real-time aerial surveillance, narrowing the gap between research and field-ready anti-UAV systems. Real-time Unmanned Aerial Vehicle (UAV) detection is a growing research field centered on advanced computer vision and deep learning algorithms. However, the rise of unmanned aerial vehicles (UAVs) has sparked numerous concerns due to their potential for malicious use in illegal activities. To address these concerns, Vision-based object detection approaches for UAVs have recently been developed. Nonetheless, UAV detection in real-world scenarios, such as images with diverse backgrounds and various perspectives, remains underexplored. To fill this gap, we present a new UAV detection dataset called the real-world scenarios dataset (RWSD). This dataset leverages real-world footage and is constructed under challenging conditions, including complex backgrounds, varying UAV sizes, different perspectives, and multiple UAV types. It aims to support the development of robust UAV detection algorithms that can perform well in diverse and realistic conditions. YOLO, a popular one-stage object detection approach, is widely employed for UAV detection across different environments due to its efficiency and simplicity. However, this series of detectors encounters challenges in real-world scenarios, such as excessive computation and suboptimal detection rates. In this study, we propose a lightweight feature enhancement model (LFEM) to address these limitations. Specifically, we base our model on YOLOv5, introducing the Ghost module to improve UAV detection with fewer floating-point operations (FLOPs). Additionally, we incorporate the SIMAM module to enhance feature representation, particularly for real-world scenarios. Extensive experiments on the RWSD, UAVDT, and DOTAv1.0 datasets demonstrate the effectiveness of our approach. Our proposed LFEM achieves an impressive 93.2% mAP50, outperforming baseline models while maintaining a lightweight profile. Comparative and ablation studies further confirm that our algorithm is a promising and efficient solution for practical UAV detection tasks. © 2025 by the authors.","Ghost module; lightweight feature enhancement model; real-world scenarios dataset; SIMAM module; UAV detection","Computer vision; Deep learning; Digital arithmetic; Efficiency; Feature extraction; Image enhancement; Interactive computer systems; Large datasets; Learning algorithms; Mobile antennas; Network security; Object detection; Object recognition; Real time systems; Signal detection; Unmanned aerial vehicles (UAV); Aerial vehicle; Feature enhancement; Ghost module; Lightweight feature enhancement model; Real-world scenario; Real-world scenario dataset; SIMAM module; Unmanned aerial vehicle detection; Vehicle size; Vehicles detection; Aircraft detection","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105025754163"
"Wisotzky E.L.; Triller J.; Knoke M.; Globke B.; Hilsmann A.; Eisert P.","Wisotzky, Eric L. (35743969500); Triller, Jost (58651280100); Knoke, Michael (58526064700); Globke, Brigitta (36910143600); Hilsmann, Anna (24830180600); Eisert, Peter (55892485300)","35743969500; 58651280100; 58526064700; 36910143600; 24830180600; 55892485300","Real-time fusion of stereo vision and hyperspectral imaging for objective decision support during surgery","2025","Computer Vision and Image Understanding","262","","104541","","","2","10.1016/j.cviu.2025.104541","https://www.scopus.com/pages/publications/105020903248?origin=resultslist","We present a real-time stereo hyperspectral imaging (stereo-HSI) system for intraoperative tissue and organ analysis that integrates multispectral snapshot imaging with stereo vision to support clinical decision-making. The system visualize both RGB and high-dimensional spectral data while simultaneously reconstructing 3D surfaces, offering a compact, non-contact solution for seamless integration into surgical workflows. A modular processing pipeline enables robust demosaicing, spectral and spatial fusion, and pixel-wise medical assessment, including perfusion and tissue classification. Our spectral warping algorithm leverages a custom learned mapping, our white-balance network method is the first for snapshot MSI cameras, and our fusion CNN employs spectral-attention modules to exploit the rich hyperspectral domain. Clinical feasibility was demonstrated in 57 surgical procedures, including kidney transplantation, parotidectomy, and neck dissection, achieving high spatial and spectral resolution under standard surgical lighting conditions. The system enables visualization of oxygenation and tissue composition in real-time, offering surgeons a novel tool for image-guided interventions. This study establishes the stereo-HSI platform as a clinically viable and effective method for enhancing intraoperative insight and surgical precision. © 2025 The Author(s).","Assistive computer vision; Demosaicing; Intraoperative analysis; Multispectral imaging; Snaphot imaging","Computer vision; Decision making; Decision support systems; Hyperspectral imaging; Image enhancement; Medical imaging; Spectral resolution; Stereo image processing; Stereo vision; Surgical equipment; Tissue; Transplantation (surgical); Transplants; Assistive; Assistive computer vision; Decision supports; Demosaicing; HyperSpectral; Intra-operative; Intraoperative analyze; Multispectral imaging; Real- time; Snaphot imaging; Photomapping","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105020903248"
"Wu X.-T.; Chen X.-D.; Chen H.-Y.; Wu W.","Wu, Xian-Tao (57222221034); Chen, Xiao-Diao (8509806400); Chen, Hong-Yu (59451334500); Wu, Wen (57218279318)","57222221034; 8509806400; 59451334500; 57218279318","CurvDrop: Data-efficient learning for medical image segmentation","2025","Displays","90","","103170","","","2","10.1016/j.displa.2025.103170","https://www.scopus.com/pages/publications/105012091155?origin=resultslist","More training data can frequently boost the performance, but also be accompanied by increased training costs and reliance on high-performance computing resources. This work concerns lots of similar and less-informative slices within the medical volumes, and aims to drop out some of them (referred as redundancy) while maintaining the model's performance. We observe that the curvatures of loss surface are highly relevant to the data redundancy: Samples with low curvatures tend to be organ-sparse and cannot produce enough loss to guide the optimization process even at early training phrase; while samples with high curvature usually have ambiguous and unrepresentative contents, which is essential to boost the generalization ability. From these observations, we introduce CurvDrop, a sample selection and training algorithm for data efficient training. Specifically, we first calculate the curvatures for all training samples with Hessian from a warmed-up model. Then, a condensed dataset can be constructed by dropping out partial samples with lowest curvatures. To avoid overfitting and maintain the robustness, we design a curvature-assisted regularization to facilitate the flatness of loss surface on a new segmentation network. A unique advantage of our method is that the condensed set identified by a specific network can be generalized across other architectures. Experiments on a widely used medical segmentation benchmark (i.e., Synapse and ACDC dataset) show that our CurvDrop can save 24% of training costs by using only 70% training data to achieve 98.8% performance. Code and model will be available at https://github.com/wuwen1994/CurvDrop. © 2025 Elsevier B.V.","Computer vision; Curvature; Data redundancy; Hessian matrix; Medical image segmentation","Benchmarking; Curve fitting; Image segmentation; Medical computing; Medical image processing; Optimization; Redundancy; Sampling; Curvature; Data-redundancy; Drop-out; Efficient learning; Hessian matrices; High-performance computing resources; Medical image segmentation; Performance; Training costs; Training data; Computer vision","Article","Final","","Scopus","2-s2.0-105012091155"
