"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Yang K.; Zong L.; Tang M.; Hu J.; Zheng Y.; Chen Y.; Zhao M.","Yang, Kun (59518701300); Zong, Liansong (58040299800); Tang, Mingwei (36163501500); Hu, Jie (57194794887); Zheng, Yanxi (59507325600); Chen, Yujun (59557733400); Zhao, Mingfeng (55477805500)","59518701300; 58040299800; 36163501500; 57194794887; 59507325600; 59557733400; 55477805500","MPGM:Multi-prompt generation model with self-supervised contrastive learning for aspect sentiment triplet extraction","2025","Neural Networks","192","","107894","","","7","10.1016/j.neunet.2025.107894","https://www.scopus.com/pages/publications/105012894474?origin=resultslist","Generative models are widely used in natural language processing and achieve remarkable results in the Aspect Sentiment Triplet Extraction (ASTE) task. Although existing generative methods can effectively identify triplets within sentences, their performance still needs to be improved when dealing with complex sentences containing multi-span terms. The main issues are the insufficient recognition of long-span terms and the lack of comprehensive recognition of complete triplets. To address the limitations of generative models in the ASTE task, a multi-prompt generation model (MPGM) with self-supervised contrastive learning is proposed for aspect sentiment triplet extraction. Efforts are made to enhance the connections between terms and sentiment polarity from various perspectives. Initially, multiple prompt templates are proposed to integrate the generated triplets to mitigate potential errors in individual templates. In addition, a terminological affinity evaluation is designed, which incorporates term information during the training process to enhance the model's ability to recognize relationships between terms. Moreover, the dual-dimensional supervised contrastive learning strategy leverages multiple types of labels to enhance the representations of triplet spans. The enhanced triplet span representations facilitate more precise modeling of the relationships between terms and sentiment polarities. Extensive experiments have validated that the MPGM demonstrates superior performance to existing methods on two public datasets, proving its effectiveness and advancement in addressing the challenges of the ASTE task. Specifically, on the four subsets of the ASTE-DATA-v1 and ASTE-DATA-v2 datasets (14Lap, 14Res, 15Res, 16Res), the F1 scores of the MPGM method are 63.98 %, 76.63 %, 67.48 %, 75.61 % and 65.32 %, 76.80 %, 68.75 %, 75.49 %, respectively. © 2025 Elsevier Ltd","Aspect sentiment triplet extraction; Generative model; Multiple prompt templates; Supervised contrastive learning; Terminological affinity evaluation","Humans; Natural Language Processing; Neural Networks, Computer; Supervised Machine Learning; Data mining; Learning algorithms; Learning systems; Self-supervised learning; Sentiment analysis; Supervised learning; Terminology; Aspect sentiment triplet extraction; Complex sentences; Generative methods; Generative model; Language processing; Multiple prompt template; Natural languages; Performance; Supervised contrastive learning; Terminological affinity evaluation; article; generative model; human; learning; natural language processing; triplets; artificial neural network; natural language processing; supervised machine learning; Extraction","Article","Final","","Scopus","2-s2.0-105012894474"
"Abert C.; Bruckner F.; Voronov A.; Lang M.; Pathak S.A.; Holt S.; Kraft R.; Allayarov R.; Flauger P.; Koraltan S.; Schrefl T.; Chumak A.; Fangohr H.; Suess D.","Abert, C. (55084839600); Bruckner, F. (44561022400); Voronov, A. (57217158973); Lang, M. (57223428922); Pathak, S.A. (57219762999); Holt, S. (57205585722); Kraft, R. (57221156016); Allayarov, R. (59491340500); Flauger, P. (57194716218); Koraltan, S. (57218708417); Schrefl, T. (7005780657); Chumak, A. (8219595500); Fangohr, H. (6602681314); Suess, D. (7004076065)","55084839600; 44561022400; 57217158973; 57223428922; 57219762999; 57205585722; 57221156016; 59491340500; 57194716218; 57218708417; 7005780657; 8219595500; 6602681314; 7004076065","NeuralMag: an open-source nodal finite-difference code for inverse micromagnetics","2025","npj Computational Materials","11","1","193","","","6","10.1038/s41524-025-01688-1","https://www.scopus.com/pages/publications/105008501334?origin=resultslist","We present NeuralMag, a flexible and high-performance open-source Python library for micromagnetic simulations. NeuralMag leverages modern machine learning frameworks, such as PyTorch and JAX, to perform efficient tensor operations on various parallel hardware, including CPUs, GPUs, and TPUs. The library implements a novel nodal finite-difference discretization scheme that provides improved accuracy over traditional finite-difference methods without increasing computational complexity. NeuralMag is particularly well-suited for solving inverse problems, especially those with time-dependent objectives, thanks to its automatic differentiation capabilities. Performance benchmarks show that NeuralMag is competitive with state-of-the-art simulation codes while offering enhanced flexibility through its Python interface and integration with high-level computational backends. © The Author(s) 2025.","","Benchmarking; Computer hardware; Finite difference method; High level languages; Inverse problems; Learning systems; Open source software; Open systems; Program processors; Python; Tensors; Discretization scheme; Finite-difference discretization; Learning frameworks; Machine-learning; Micromagnetic simulations; Micromagnetics; Modern machines; Open-source; Parallel hardware; Performance; Interface states","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105008501334"
"Li Z.; Dong Y.; Wu X.; Liu X.","Li, Zhixin (60012269600); Dong, Yunfeng (36975118100); Wu, Xiaoming (55715032000); Liu, Xiangzhi (16199890800)","60012269600; 36975118100; 55715032000; 16199890800","SD-HRNet: a lightweight high-resolution network for human pose estimation based on spatial decoupling","2025","Multimedia Systems","31","6","436","","","1","10.1007/s00530-025-02021-y","https://www.scopus.com/pages/publications/105018720942?origin=resultslist","Human pose estimation is a critical challenge in computer vision, with existing methods struggling to balance model efficiency and accuracy. Overemphasis on accuracy often results in high computational costs, while focusing on lightweight design can compromise performance. To address these challenges, we propose SD-HRNet, a lightweight human pose estimation network built upon the HRNet architecture. The core innovation of SD-HRNet is the introduction of SDShuffleBlock, which integrates shared-weight downsampling and partial convolution techniques. These innovations achieve a trade-off between computational efficiency and predictive accuracy. When evaluated on COCO2017 and MPII benchmarks, SD-HRNet outperforms existing lightweight models, achieving 66.6% AP on COCO2017 with only 205 M FLOPs and 0.98M parameters and achieving inference speeds of 132+ FPS on NVIDIA A100 GPUs and 1.5+ FPS on CPU. Compared to current methods, SD-HRNet improves AP by 1.5% to 2.3% while reducing parameters by 18% to 30%. Ablation studies confirm the effectiveness of the lightweight backbone, shared-weight convolution, and partial convolution blocks, demonstrating SD-HRNet as a high-performance, lightweight solution for pose estimation. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.","HRNet; Human pose estimation; Lightweight network; Spatial decoupling","Computational efficiency; Convolution; Network architecture; Program processors; Balance model; Critical challenges; Decouplings; High resolution; HRNet; Human pose estimations; Lightweight network; Model efficiency; Performance; Spatial decoupling; Economic and social effects","Article","Final","","Scopus","2-s2.0-105018720942"
"Zhang R.; Zou R.; Zhao Y.; Zhang Z.; Chen J.; Cao Y.; Hu C.; Song H.","Zhang, Ronghui (7404864225); Zou, Runzong (59408662400); Zhao, Yue (57824842700); Zhang, Zirui (58847734200); Chen, Junzhou (50660986600); Cao, Yue (55470310200); Hu, Chuan (56535670600); Song, Houbing (57199094588)","7404864225; 59408662400; 57824842700; 58847734200; 50660986600; 55470310200; 56535670600; 57199094588","BA-Net: Bridge attention in deep neural networks","2025","Expert Systems with Applications","292","","128525","","","6","10.1016/j.eswa.2025.128525","https://www.scopus.com/pages/publications/105008295233?origin=resultslist","Attention mechanisms, particularly channel attention, have become highly influential in numerous computer vision tasks. Although effective, many existing methods primarily focus on optimizing performance through complex attention modules applied at individual convolutional layers, often overlooking the synergistic interactions that can occur across multiple layers. In response to this gap, we introduce bridge attention, a novel approach designed to facilitate more effective integration and information flow between different convolutional layers. Our work extends the original bridge attention model (BAv1) by introducing an adaptive selection operator, which reduces information redundancy and optimizes the overall information exchange. This enhancement results in the development of BAv2, which achieves substantial performance improvements in the ImageNet classification task, obtaining Top-1 accuracies of 80.49 % and 81.75 % when using ResNet50 and ResNet101 as backbone networks, respectively. These results surpass the retrained baselines by 1.61 % and 0.77 %, respectively. Furthermore, BAv2 outperforms other existing channel attention techniques, such as the classical SENet101, exceeding its retrained performance by 0.52 %. Additionally, integrating BAv2 into advanced convolutional networks and vision transformers has led to significant gains in performance across a wide range of computer vision tasks, underscoring its broad applicability. The source code is available at https://github.com/ZOUrz/BA-Net-Bridge-Attention-in-Deep-Neural-Networks. © 2025 Elsevier Ltd","Channel attention mechanism; Computer vision; Deep neural network architectures; Highly efficient DNN architectures; Networks optimization","Barium alloys; Barium compounds; Computer networks; Convolution; Convolutional neural networks; Image enhancement; Information dissemination; Optimization; Attention mechanisms; Channel attention mechanism; Deep neural network architecture; Highly efficient DNN architecture; Network optimization; Neural network architecture; Neural-networks; Optimizing performance; Performance; Synergistic interaction; Computer vision","Article","Final","","Scopus","2-s2.0-105008295233"
"Guo J.; Zhang M.","Guo, Junkai (60234522600); Zhang, Mingjiang (24462622600)","60234522600; 24462622600","An Improved YOLOv11 Recognition Algorithm for Heavy-Duty Trucks on Highways","2025","Electronics (Switzerland)","14","23","4621","","","1","10.3390/electronics14234621","https://www.scopus.com/pages/publications/105024530093?origin=resultslist","This paper presents an enhanced YOLOv11-based algorithm for highway freight truck tarpaulin recognition to enhance real-time performance and accuracy in identifying truck axle types and tarpaulin materials. The proposed methodology incorporates four key innovations. First, the lightweight Spatial and Channel Reconstruction Convolution (SCConv) module is introduced to replace standard convolutional layers in the YOLOv11 backbone feature extraction network, which enables maintaining strong feature extraction capabilities while reducing model parameters and computational complexity. Second, a Channel-Spatial Multi-scale Attention Module (CSMAM) is integrated with the C3k2 module of the YOLOv11 feature fusion network, thereby strengthening the network’s capacity to learn both truck body features and tarpaulin coverage characteristics. Third, a novel Dual-Enhanced Channel Detection Head (DEC-Head) detector is designed to improve recognition performance under ambiguous conditions and reduce parameter quality. Finally, the SIoU loss function is adopted to replace the conventional bounding box loss function, substantially improving prediction box accuracy. Comprehensive experimental results demonstrate that compared to the baseline YOLOv11 algorithm, our proposed method achieves an approximate 4.4% increase in precision, 5.2% improvement in recall rate, and 7.2% higher mean Average Precision (mAP), while also achieving a significant improvement in inference speed (Frames Per Second, FPS), establishing superior recognition performance for truck tarpaulin detection tasks. © 2025 by the authors.","attention mechanism; detection head; loss function; truck tarpaulin recognition; YOLOv11","Convolution; Distributed computer systems; Feature extraction; Image processing; Inference engines; Network layers; Trucks; Attention mechanisms; Detection head; Features extraction; Heavy-duty trucks; Highway freights; Loss functions; Performance; Recognition algorithm; Truck tarpaulin recognition; YOLOv11; Extraction","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024530093"
"Pan T.; Tang L.; Wang X.; Liu X.; Shan S.","Pan, Ting (58249728200); Tang, Lulu (58773960600); Wang, Xinlong (57216498384); Liu, Xin (58550331400); Shan, Shiguang (22235341500)","58249728200; 58773960600; 57216498384; 58550331400; 22235341500","Consistent multimodal pre-training for visual tokenization","2025","Science China Information Sciences","68","10","200106","","","0","10.1007/s11432-024-4603-x","https://www.scopus.com/pages/publications/105017668866?origin=resultslist","Multimodal large language models (MLLMs) have recently demonstrated notable progress in understanding diverse visual context. Nevertheless, the overall performance of these large vision-language connecting models is highly related to a smaller vision-language pre-trained (CLIP) model at low resolution. Currently, this nesting vision-language alignment paradigm has hindered the development of a distinct vision foundation model for domain-specific multimodal tasks (e.g., OCR and document perception). In this paper, we explore a native high-resolution vision foundation model that is specifically designed for both image-level and region-level multimodal language tasks, clearly substituting the low-resolution CLIP models. Specifically, we introduce TAP-v2, a novel visual tokenizer that encodes general-purpose contextual information to enable comprehensive perception across diverse visual content. © Science China Press 2025.","foundation model; multimodal; representation learning; visual tokenization","Computer vision; Foundation models; Language model; Lower resolution; Multi-modal; Performance; Pre-training; Representation learning; Tokenization; Visual context; Visual tokenization; Visual languages","Article","Final","","Scopus","2-s2.0-105017668866"
"Yu X.; Ren J.; Jiang L.; Peng H.; Hao Z.; Sun L.; Peng K.; Zhu L.; Yu P.S.","Yu, Xiaoyan (57231845000); Ren, Jiaqian (57232279700); Jiang, Lei (55197804200); Peng, Hao (57190014707); Hao, Zhifeng (7201992728); Sun, Li (57215727271); Peng, Kun (57822622900); Zhu, Liehuang (58944264000); Yu, Philip S. (7402366049)","57231845000; 57232279700; 55197804200; 57190014707; 7201992728; 57215727271; 57822622900; 58944264000; 7402366049","PromptSED: An evolving topic-enhanced prompting framework for incremental social event detection","2025","Neural Networks","191","","107772","","","5","10.1016/j.neunet.2025.107772","https://www.scopus.com/pages/publications/105010231596?origin=resultslist","The recent success of Transformer-based pre-trained language models (PLMs) offers a novel perspective on social event detection (SED), which seeks to identify clusters of social messages corresponding to real-world events. However, employing PLMs for SED tasks necessitates careful consideration of the inherent characteristics of social data, including the short text format with limited information, as well as the continuous updates as new events emerge over time. To address these challenges, this work introduces PromptSED, an evolving topic-enhanced prompt learning framework for SED. PromptSED is a novel paradigm that dynamically tracks topics in social streams and selectively injects them into PLMs to facilitate incremental SED. The framework is distinguished by three key innovative designs: (1) Selective Topic Injection: A mechanism that converts evolving topic-related information into prompts for PLMs; (2) Noise-Tolerant Optimization: A strategy that enhances the framework's resilience to noise while improving its ability to differentiate between events; (3) Training-Free Topic Tracking: A method that enables event detection in an incremental social stream without requiring additional training or manual labeling. Experiments conducted on two publicly available event datasets demonstrate that PromptSED achieves significant performance improvements for SED. Further analysis validates the contributions of each design component, emphasizing the framework's overall effectiveness. Additionally, inspired by the remarkable performance of recent decoder-only large language models across diverse tasks, we evaluate their applicability to SED, providing a comparative analysis against the proposed framework. © 2025 Elsevier Ltd","Pre-trained language models; Prompt-based fine-tuning; Social event detection","Humans; Neural Networks, Computer; Social Behavior; Learning systems; Events detection; Fine tuning; Language model; Performance; Pre-trained language model; Prompt-based fine-tuning; Real-world; Social event detection; Social events; Social streams; article; human; language model; large language model; noise; artificial neural network; social behavior; Statistics","Article","Final","","Scopus","2-s2.0-105010231596"
"Song X.; Liu J.; Wei B.; Guo X.; Hei X.","Song, Xiaogang (57195577413); Liu, Jian (59927343300); Wei, Bingxing (59927294000); Guo, Xinwei (59927317900); Hei, Xinhong (59267195400)","57195577413; 59927343300; 59927294000; 59927317900; 59267195400","Self-Supervised Monocular Depth Estimation With Progressive Enhancement of Local-to-Global Visual Perception","2025","IEEE Transactions on Intelligent Transportation Systems","26","11","","20536","20548","1","10.1109/TITS.2025.3581577","https://www.scopus.com/pages/publications/105018062132?origin=resultslist","Self-supervised monocular depth estimation trains by utilizing the structure of the data itself without relying on ground-truth depth labels, gaining widespread attention in fields such as autonomous driving. However, many existing methods adopt the popular encoder-decoder structure, but this has deficiencies in refining both local and global visual clues, limiting its performance in detail recovery and spatial modeling. In this paper, we propose LGEDepth, a novel method to progressively enhance local to global visual perception. In LGEDepth, we design two crucial components to comprehensively refine local and global information after the encoder-decoder. The first is the patch-wise refinement tokenizer (PWRT), which fully refines the detailed information in local regions based on a local attention strategy with low performance overhead, effectively enhancing the local visual perception of the model. The second is the hierarchical interaction module (HIM), which better aggregates multi-scale contextual information through a cross-level interaction manner while determining the optimal depth bins that adapt to the depth distribution characteristics of the scene, effectively enhancing the global visual perception of the model. The experimental results on the KITTI, Cityscapes, Make3D and RUGD datasets demonstrate that LGEDepth achieves state-of-the-art performance and exhibits strong generalization ability, outperforming existing competitors. © 2000-2011 IEEE.","3D reconstruction; Monocular depth estimation; progressive perceiving; self-supervised learning","3D reconstruction; Behavioral research; Depth perception; Image reconstruction; Self-supervised learning; Signal encoding; Supervised learning; Three dimensional computer graphics; Visualization; 3D reconstruction; Depth Estimation; Encoder-decoder; Ground truth; In-field; Monocular depth estimation; Performance; Progressive enhancement; Progressive perceiving; Visual perception; Decoding","Article","Final","","Scopus","2-s2.0-105018062132"
"Fan J.; Yang J.; Gu Z.; Wu H.; Sun D.; Qin F.; Wu J.","Fan, Jin (56542158600); Yang, Jiajun (59521710800); Gu, Zhangyu (59521710700); Wu, Huifeng (55703741200); Sun, Danfeng (57201736083); Qin, Feiwei (55485132000); Wu, Jia (23971568900)","56542158600; 59521710800; 59521710700; 55703741200; 57201736083; 55485132000; 23971568900","Path-aware multi-scale learning for heterogeneous graph neural network","2025","Neural Networks","191","","107743","","","7","10.1016/j.neunet.2025.107743","https://www.scopus.com/pages/publications/105008963721?origin=resultslist","Heterogeneous Graph Neural Networks (HGNNs) are a powerful tool for modeling data with diverse node and edge types, found in applications like social networks, recommendation systems, and knowledge graphs, including tasks such as node classification, link prediction, and graph classification. Based on information aggregation methods, HGNNs can be broadly categorized into meta-path-free and meta-path-based HGNNs. Recently, meta-path-based HGNNs have made significant advancements in both performance and interpretability. However, these methods often overlook the redundancy among meta-paths and fail to fully leverage the inherent information within the paths, such as path length and path type. Furthermore, their insufficient utilization of global information hinders comprehensive representation learning. To address these issues, we propose a path-aware multi-scale heterogeneous graph neural network named PM-HGNN. To better capture global information, PM-HGNN employs a global similarity-based mean aggregator to pre-compute neighbor aggregation information. Additionally, PM-HGNN exploits the inherent relevance and differences between meta-paths, enabling redundancy reduction and the dynamic assignment of weights. Experiments conducted on four real-world heterogeneous graph datasets revealed that PM-HGNN consistently exceeds the performance of current state-of-the-art methods in tasks related to node classification. © 2025 Elsevier Ltd","Graph neural networks; Heterogeneous graph representation learning; Meta-path","Algorithms; Graph Neural Networks; Humans; Machine Learning; Neural Networks, Computer; Classification (of information); Graph neural networks; Graph theory; Graphic methods; Heterogeneous networks; Knowledge graph; Global informations; Graph neural networks; Graph representation; Heterogeneous graph; Heterogeneous graph representation learning; Meta-path; Modeling data; Multi-scales; Path-based; Performance; article; feature learning (machine learning); graph neural network; human; knowledge graph; learning; male; nerve cell network; prediction; social network; algorithm; artificial neural network; graph neural network; machine learning; Redundancy","Article","Final","","Scopus","2-s2.0-105008963721"
"He P.; Zhang L.; Yang Y.; Zhou Y.; Duan S.; Hu X.","He, Peng (57673033800); Zhang, Lin (57225059820); Yang, Yu (59471644900); Zhou, Yue (57205199454); Duan, Shukai (8985785900); Hu, Xiaofang (55534251900)","57673033800; 57225059820; 59471644900; 57205199454; 8985785900; 55534251900","MA-MNN: Multi-flow attentive memristive neural network for multi-task image restoration","2025","Signal Processing: Image Communication","138","","117336","","","0","10.1016/j.image.2025.117336","https://www.scopus.com/pages/publications/105004215071?origin=resultslist","Images taken in rainy, hazy, and low-light environments severely hinder the performance of outdoor computer vision systems. Most data-driven image restoration methods are task-specific and computationally intensive, whereas the capture and processing of degraded images occur largely in end-side devices with limited computing resources. Motivated by addressing the above issues, a novel software and hardware co-designed image restoration method named multi-flow attentive memristive neural network (MA-MNN) is proposed in this paper, which combines a deep learning algorithm and the nanoscale device memristor. The multi-level complementary spatial contextual information is exploited by the multi-flow aggregation block. The dense connection design is adopted to provide smooth transportation across units and alleviate the vanishing-gradient. The supervised calibration block is designed to facilitate achieving the dual-attention mechanism that helps the model identify and re-calibrate the transformed features. Besides, a hardware implementation scheme based on memristors is designed to provide low energy consumption solutions for embedded applications. Extensive experiments in image deraining, image dehazing and low-light image enhancement have shown that the proposed method is highly competitive with over 20 state-of-the-art methods. © 2025 Elsevier B.V.","Deep learning; Dual-attention; Image restoration; Memristor","Computer hardware description languages; Deep neural networks; Image coding; Image enhancement; Photointerpretation; Deep learning; Dual-attention; Light environment; Low light; Memristor; Multi flows; Multi tasks; Neural-networks; Performance; Restoration methods; Optical flows","Article","Final","","Scopus","2-s2.0-105004215071"
